"","district","FoundationsDensity100k","FoundationsTotal"
"370",16074,9.4,8
"371",16077,8.3,8
"372",5916,4.5,7
"373",7331,5.6,7
"374",9278,7.3,7
"375",9279,7.7,7
"376",9674,8.3,7
"377",12069,3.4,7
"378",15086,7.5,7
"379",16063,5.5,7
"380",16068,9.8,7
"381",16071,8.5,7
"382",3102,6.1,6
"383",7233,9.8,6
"384",7335,5.7,6
"385",7340,6.1,6
"386",9177,4.7,6
"387",9572,4.6,6
"388",12065,3,6
"389",12068,6,6
"390",12070,7.5,6
"391",16052,6.3,6
"392",16069,9.1,6
"393",12052,5,5
"394",12053,8.5,5
"395",12063,3.3,5
"396",12071,4.1,5
"397",16075,5.9,5
"398",16065,5,4
"399",16076,2.9,3
"400",7135,3.1,2
"401",16072,3.4,2
"402",16054,2.7,1
