"","year","district","ForeignersTotal"
"7038",2013,13051,NA
"7056",2013,13052,NA
"7074",2013,13053,NA
"7092",2013,13054,NA
"7110",2013,13055,NA
"7128",2013,13056,NA
"7146",2013,13057,NA
"7164",2013,13058,NA
"7182",2013,13059,NA
"7200",2013,13060,NA
"7218",2013,13061,NA
"7236",2013,13062,NA
"7254",2013,13071,3351
"7272",2013,13072,2901
"7290",2013,13073,3338
"7308",2013,13074,2893
"7326",2013,13075,6088
"7344",2013,13076,4986
"7398",2013,14161,NA
"7416",2013,14166,NA
"7434",2013,14167,NA
"7452",2013,14171,NA
"7470",2013,14173,NA
"7488",2013,14177,NA
"7506",2013,14178,NA
"7524",2013,14181,NA
"7542",2013,14182,NA
"7560",2013,14188,NA
"7578",2013,14191,NA
"7596",2013,14193,NA
"7632",2013,14262,NA
"7650",2013,14263,NA
"7668",2013,14264,NA
"7686",2013,14272,NA
"7704",2013,14280,NA
"7722",2013,14284,NA
"7740",2013,14285,NA
"7758",2013,14286,NA
"7776",2013,14287,NA
"7794",2013,14290,NA
"7812",2013,14292,NA
"7848",2013,14365,NA
"7866",2013,14374,NA
"7884",2013,14375,NA
"7902",2013,14379,NA
"7920",2013,14383,NA
"7938",2013,14389,NA
"7974",2013,14511,9243
"7992",2013,14521,3501
"8010",2013,14522,4892
"8028",2013,14523,3317
"8046",2013,14524,4919
"8082",2013,14612,22582
"8100",2013,14625,3371
"8118",2013,14626,5549
"8136",2013,14627,3342
"8154",2013,14628,3689
"8190",2013,14713,28843
"8208",2013,14729,2822
"8226",2013,14730,3165
"8262",2013,15001,2177
"8280",2013,15002,10178
"8298",2013,15003,10113
"8316",2013,15081,1532
"8334",2013,15082,3360
"8352",2013,15083,2332
"8370",2013,15084,4499
"8388",2013,15085,3124
"8406",2013,15086,1308
"8424",2013,15087,2039
"8442",2013,15088,3360
"8460",2013,15089,2977
"8478",2013,15090,1576
"8496",2013,15091,1718
"8532",2013,15101,NA
"8550",2013,15151,NA
"8568",2013,15153,NA
"8586",2013,15154,NA
"8604",2013,15159,NA
"8622",2013,15171,NA
"8658",2013,15202,NA
"8676",2013,15256,NA
"8694",2013,15260,NA
"8712",2013,15261,NA
"8730",2013,15265,NA
"8748",2013,15266,NA
"8766",2013,15268,NA
"8802",2013,15303,NA
"8820",2013,15352,NA
"8838",2013,15355,NA
"8856",2013,15357,NA
"8874",2013,15358,NA
"8892",2013,15362,NA
"8910",2013,15363,NA
"8928",2013,15364,NA
"8946",2013,15367,NA
"8964",2013,15369,NA
"8982",2013,15370,NA
"9018",2013,16051,7724
"9036",2013,16052,1798
"9054",2013,16053,5645
"9072",2013,16054,793
"9090",2013,16055,3194
"9108",2013,16056,1336
"9126",2013,16061,1184
"9144",2013,16062,1625
"9162",2013,16063,1518
"9180",2013,16064,1161
"9198",2013,16065,820
"9216",2013,16066,1724
"9234",2013,16067,3002
"9252",2013,16068,711
"9270",2013,16069,708
"9288",2013,16070,2826
"9306",2013,16071,1263
"9324",2013,16072,676
"9342",2013,16073,1414
"9360",2013,16074,1606
"9378",2013,16075,1215
"9396",2013,16076,1069
"9414",2013,16077,1257
"288",2013,2,233989
"6552",2013,11,459101
