"","district","DistrictName","year","district_year","bodilyHarm","robberyFromOrOutOfCars","robberyOfCars","dangerousBodilyHarm","violentCrime","murderAndManslaughter","robberyIncludingExtortionAndAttackOfCarDrivers","vandalism","vandalismGraffiti","streetCrime","burglaryDaylight","burglary","EastWest"
"63",15002,"Halle (Saale)",2013,"15002y2013",1807,1273,157,620,909,12,249,3099,995,5485,113,324,2
"64",15003,"Magdeburg",2013,"15003y2013",1336,1662,249,485,800,11,274,3104,718,7109,139,370,2
"65",15081,"Altmarkkreis Salzwedel",2013,"15081y2013",339,291,37,138,175,0,29,759,129,1047,22,68,2
"66",15082,"Anhalt-Bitterfeld",2013,"15082y2013",695,684,121,237,323,9,62,1376,214,2593,52,160,2
"67",15083,"Börde",2013,"15083y2013",665,691,115,209,272,8,41,1149,154,1886,68,179,2
"68",15084,"Burgenlandkreis",2013,"15084y2013",842,1216,100,236,342,8,87,1656,320,2992,71,307,2
"69",15085,"Harz",2013,"15085y2013",814,1061,115,312,431,5,91,2174,515,3338,50,191,2
"70",15086,"Jerichower Land",2013,"15086y2013",374,395,78,125,161,1,29,807,161,1286,39,96,2
"71",15087,"Mansfeld-Südharz",2013,"15087y2013",871,549,77,185,237,1,40,1360,221,1526,27,108,2
"72",15088,"Saalekreis",2013,"15088y2013",952,1074,131,219,322,4,87,1501,180,2818,82,196,2
"73",15089,"Salzlandkreis",2013,"15089y2013",929,839,103,275,380,13,78,1480,148,2723,73,260,2
"74",15090,"Stendal",2013,"15090y2013",558,497,69,177,236,2,44,1001,202,1745,37,127,2
"75",15091,"Wittenberg",2013,"15091y2013",539,481,102,181,249,0,54,1076,186,2118,43,113,2
"76",16051,"Erfurt",2013,"16051y2013",1732,579,131,548,716,6,142,2306,667,3257,116,236,2
"77",16052,"Gera",2013,"16052y2013",778,181,52,229,282,1,49,1040,139,1053,13,37,2
"78",16053,"Jena",2013,"16053y2013",484,202,71,167,210,3,29,916,177,1389,65,82,2
"79",16054,"Suhl",2013,"16054y2013",218,81,5,89,108,0,13,347,33,317,3,12,2
"80",16055,"Weimar",2013,"16055y2013",411,171,37,129,174,1,35,871,285,930,23,42,2
"81",16056,"Eisenach",2013,"16056y2013",281,81,19,93,124,3,25,416,34,450,17,20,2
