"","district","DistrictName","MurderRate","lon","lat"
"181",8115,"Böblingen",2.69984232920797,NA,NA
"182",8116,"Esslingen",3.12329804657228,9.3201122,48.7433425
"183",8117,"Göppingen",2.41144956252286,NA,NA
"184",8118,"Ludwigsburg",1.91705662793573,9.195464,48.8940624
"185",8119,"Rems-Murr-Kreis",2.91953044218721,9.5300281,48.8900669
"186",8121,"Heilbronn",3.3863293882596,9.210879,49.1426929
"187",8125,"Heilbronn",1.22686214670204,9.210879,49.1426929
"188",8126,"Hohenlohekreis",0.927076187121058,9.6007374,49.2510988
"189",8127,"Schwäbisch Hall",1.59844843938151,NA,NA
"190",8128,"Main-Tauber-Kreis",1.54015570974225,9.7105561,49.5700201
"191",8135,"Heidenheim",0.781573620327167,10.1610948,48.6893963
"192",8136,"Ostalbkreis",1.62902001413989,10.1009319,48.8817917
"193",8211,"Baden-Baden",13.2045574586886,8.2285242,48.76564
"194",8212,"Karlsruhe",3.00899690073319,8.4036527,49.0068901
"195",8215,"Karlsruhe",1.8639936997013,8.4036527,49.0068901
"196",8216,"Rastatt",2.68683584776388,8.2059096,48.8591174
"197",8221,"Heidelberg",1.97221802212829,8.6724335,49.3987524
"198",8222,"Mannheim",6.74104283932724,8.4660395,49.4874592
"199",8225,"Neckar-Odenwald-Kreis",1.41258899310657,9.2454855,49.4440668
"200",8226,"Rhein-Neckar-Kreis",2.07151237352005,8.7871347,49.3162084
"201",8231,"Pforzheim",2.54768415510301,8.6946286,48.8921862
"202",8235,"Calw",7.26259565168591,8.7472439,48.7122107
"203",8236,"Enzkreis",1.03728521712973,8.7883602,48.9899407
"204",8237,"Freudenstadt",3.48453302901745,8.4179988,48.4644796
"205",8311,"Freiburg im Breisgau",2.72373187583414,7.8421043,47.9990077
"206",8315,"Breisgau-Hochschwarzwald",1.99890460027905,7.8432686,47.945383
"207",8316,"Emmendingen",0.632203164809043,7.8539047,48.1170918
"208",8317,"Ortenaukreis",3.39247548936459,7.9471358,48.3644892
"209",8325,"Rottweil",2.21698357215173,8.6316219,48.1610687
"210",8326,"Schwarzwald-Baar-Kreis",0.975181627578136,8.4017661,48.0517272
"211",8327,"Tuttlingen",2.25228607036142,8.8192095,47.9823316
"212",8335,"Konstanz",4.75481608005647,9.1732384,47.6779496
"213",8336,"Lörrach",1.35169840905097,NA,NA
"214",8337,"Waldshut",1.82631723130308,8.2719155,47.6327253
"215",8415,"Reutlingen",4.70982070074886,9.2038043,48.5069389
"216",8416,"Tübingen",2.30909552728196,NA,NA
"217",8417,"Zollernalbkreis",1.08333559028248,8.9252312,48.2924445
"218",8421,"Ulm",6.71039608112869,9.9876076,48.4010822
"219",8425,"Alb-Donau-Kreis",2.12888254954974,9.7332485,48.4277129
"220",8426,"Biberach",1.58985882053674,9.7901525,48.0951473
"221",8435,"Bodenseekreis",0.964087731983611,9.4149697,47.7136785
"222",8436,"Ravensburg",2.55904072530526,9.6121303,47.7782704
"223",8437,"Sigmaringen",3.14710348463033,9.2286121,48.0912921
"224",9161,"Ingolstadt",6.96939660512948,11.4257541,48.7665351
"225",9162,"München",2.62814702848911,NA,NA
"226",9163,"Rosenheim",9.92326012172532,12.1181047,47.8571272
"227",9171,"Altötting",3.73954097134577,NA,NA
"228",9172,"Berchtesgadener Land",4.88538877923905,12.8816327,47.7302961
"229",9173,"Bad Tölz-Wolfratshausen",2.45664029872746,11.4274164,47.9102296
"230",9174,"Dachau",0.692487206298864,11.4339022,48.2629984
"231",9175,"Ebersberg",1.50368025743006,11.9669667,48.0780006
"232",9176,"Eichstätt",0,NA,NA
"233",9177,"Erding",0.767825058738617,11.9188758,48.3114648
"234",9178,"Freising",0,11.7411846,48.4028796
"235",9179,"Fürstenfeldbruck",1.44042406084351,NA,NA
"236",9180,"Garmisch-Partenkirchen",4.68148356214084,11.0954984,47.4916945
"237",9181,"Landsberg am Lech",2.61037537197849,10.8703515,48.050783
"238",9182,"Miesbach",4.16454101552333,11.8332675,47.7899777
"239",9183,"Mühldorf a.Inn",3.66209819916321,NA,NA
"240",9184,"München",0.606095502468324,NA,NA
"241",9185,"Neuburg-Schrobenhausen",0,11.1935703,48.6986656
"242",9186,"Pfaffenhofen a.d.Ilm",5.00054172535358,11.4977392,48.5325215
"243",9187,"Rosenheim",3.60273808094152,12.1181047,47.8571272
"244",9188,"Starnberg",2.29338511287277,11.3390089,47.9999615
"245",9189,"Traunstein",3.5218708177784,12.6384037,47.8677574
"246",9190,"Weilheim-Schongau",0.766947625146679,11.0576663,47.8251832
"247",9261,"Landshut",1.51105335529398,12.1468532,48.5441917
"248",9262,"Passau",12.1324867553686,13.4319466,48.5667364
"249",9263,"Straubing",2.19770559535845,12.5801538,48.8777333
"250",9271,"Deggendorf",3.46698562934457,12.9574787,48.8408515
"251",9272,"Freyung-Grafenau",0,13.582951,48.8056154
"252",9273,"Kelheim",0,11.886563,48.9184118
"253",9274,"Landshut",1.33053034939727,12.1468532,48.5441917
"254",9275,"Passau",2.15434828271512,13.4319466,48.5667364
"255",9276,"Regen",3.93406506943625,13.1283598,48.9771815
"256",9277,"Rottal-Inn",8.49949852958675,12.9451449,48.3909949
"257",9278,"Straubing-Bogen",1.02750634485168,12.6029872,48.9594904
"258",9279,"Dingolfing-Landau",1.08032193593691,12.5670747,48.6367249
"259",9361,"Amberg",0,11.8633445,49.4403198
"260",9362,"Regensburg",3.56440160825801,12.1016236,49.0134297
"261",9363,"Weiden i.d.OPf.",14.3795235584528,12.1489337,49.6743636
"262",9371,"Amberg-Sulzbach",0,11.7233784,49.4642643
"263",9372,"Cham",0,12.6620845,49.2238643
"264",9373,"Neumarkt i.d.OPf.",1.56462691471219,11.6255452,49.1640822
"265",9374,"Neustadt a.d.Waldnaab",2.09540373191405,12.1781271,49.7320956
"266",9375,"Regensburg",2.15076889988171,12.1016236,49.0134297
"267",9376,"Schwandorf",0.69900740947854,12.1091352,49.3198883
"268",9377,"Tirschenreuth",2.72268129654083,12.3303441,49.8817161
"269",9461,"Bamberg",7.02572821672966,10.9027636,49.8988135
"270",9462,"Bayreuth",12.5747499021964,11.5713346,49.9456399
"271",9463,"Coburg",29.272576474606,10.962695,50.2612094
"272",9464,"Hof",4.49216117874309,11.9127814,50.3135391
"273",9472,"Bayreuth",0.955684891577549,11.5713346,49.9456399
"274",9473,"Coburg",9.225198630058,10.962695,50.2612094
"275",9474,"Forchheim",7.93482860770207,11.0698834,49.7213064
"276",9475,"Hof",4.11963417648513,11.9127814,50.3135391
"277",9476,"Kronach",11.6815606565037,11.3310482,50.2359898
"278",9477,"Kulmbach",9.6024582293067,11.4448178,50.1039282
"279",9478,"Lichtenfels",18.0061220815077,11.0630387,50.1432937
"280",9479,"Wunsiedel i.Fichtelgebirge",1.35532575254462,11.9932201,49.9983303
"281",9561,"Ansbach",10.0404126609604,10.5719357,49.3004246
"282",9562,"Erlangen",4.73377262743316,11.0119611,49.5896744
"283",9563,"Fürth",6.67735042735043,NA,NA
"284",9564,"Nürnberg",5.01126532444936,NA,NA
"285",9565,"Schwabach",5.05740150710565,11.0247098,49.3284557
"286",9571,"Ansbach",4.47142202398918,10.5719357,49.3004246
"287",9572,"Erlangen-Höchstadt",3.78753446656365,11.0119611,49.5896744
"288",9573,"Fürth",0,NA,NA
"289",9574,"Nürnberger Land",1.21212121212121,11.4077016,49.4961709
"290",9575,"Neustadt a.d.Aisch-Bad Windsheim",3.07749122915,10.4656064,49.5860538
"291",9576,"Roth",0.810169244355146,11.0911607,49.2456337
"292",9577,"Weißenburg-Gunzenhausen",1.0830598607185,NA,NA
"293",9661,"Aschaffenburg",2.94793939036613,9.1355554,49.9806625
"294",9662,"Schweinfurt",7.7144124510617,10.2194228,50.0492047
"295",9663,"Würzburg",1.60387496190797,NA,NA
"296",9671,"Aschaffenburg",3.47240307654913,9.1355554,49.9806625
"297",9672,"Bad Kissingen",0,10.080392,50.2007337
"298",9673,"Rhön-Grabfeld",1.25054711436253,NA,NA
"299",9674,"Haßberge",1.18920204542752,NA,NA
"300",9675,"Kitzingen",3.40533729865943,10.1473777,49.7340805
"301",9676,"Miltenberg",4.69083489042991,9.2559213,49.7019294
"302",9677,"Main-Spessart",0.791796983253494,9.64155,49.9886154
"303",9679,"Würzburg",0,NA,NA
"304",9761,"Augsburg",2.5312610742672,10.89779,48.3705449
"305",9762,"Kaufbeuren",7.18408007854594,10.625966,47.8830175
"306",9763,"Kempten (Allgäu)",10.7619457597934,NA,NA
"307",9764,"Memmingen",7.18184429761563,10.1801883,47.9837999
"308",9771,"Aichach-Friedberg",2.33581188928252,11.0698233,48.3866143
"309",9772,"Augsburg",0.830182100443732,10.89779,48.3705449
"310",9773,"Dillingen a.d.Donau",1.07377938128832,10.4940239,48.5790918
"311",9774,"Günzburg",0,NA,NA
"312",9775,"Neu-Ulm",1.80025563630035,10.0060398,48.3906042
"313",9776,"Lindau (Bodensee)",3.80040284270133,9.6789333,47.5797815
"314",9777,"Ostallgäu",0.741999391560499,NA,NA
"315",9778,"Unterallgäu",2.90942946088272,NA,NA
"316",9779,"Donau-Ries",1.54533232371622,10.7125556,48.8261345
"317",9780,"Oberallgäu",2.65819588245458,NA,NA
"318",10041,"Regionalverband Saarbrücken",2.45415334777194,6.943689,49.278856
"319",10042,"Merzig-Wadern",2.90880884277888,6.6866876,49.4572396
"320",10043,"Neunkirchen",1.5012535467115,7.186363,49.3518048
"321",10044,"Saarlouis",0.510266563252643,6.7522865,49.3134606
"322",10045,"Saarpfalz-Kreis",2.78065498328131,7.2193582,49.1804828
"323",10046,"St. Wendel",1.12922896246443,7.1690625,49.4677707
"324",12051,"Brandenburg an der Havel",1.40781619551751,12.5316444,52.4125287
