"","district","EntitledVoteTotal","TurnoutPercentage","VoteConservativesTotal","VoteSocialDemocratsTotal","VoteGreensTotal","VoteLiberalsTotal","VoteLeftTotal","VoteOthersTotal"
"170",7135,50837,74.6,20832,7817,1783,2193,1541,3111
"171",7137,166969,72.3,57173,31839,7524,5989,5350,11029
"172",7138,138693,72.9,45192,28228,6510,4779,5134,9894
"173",7140,80609,73.5,26705,15828,3621,3617,2904,5458
"174",7141,97109,72.5,28180,21663,4815,3390,3672,7514
"175",7143,154628,73.7,53139,29874,6661,5953,5565,11155
"177",7211,81697,69.2,21562,14859,7151,2936,4192,5153
"178",7231,87870,72.4,31077,14470,3872,3984,3093,6044
"179",7232,73484,71.9,26721,11738,3395,3219,2132,4664
"180",7233,48954,71.4,18560,7538,1751,2071,1603,2877
"181",7235,112106,75.5,39347,21551,6006,3905,4496,7366
"183",7311,34091,68.5,9937,6266,1549,1136,1399,2657
"184",7312,73692,65.3,17077,14191,4133,2465,3819,5638
"185",7313,34637,71,8911,6409,3252,1580,1385,2684
"186",7314,104215,67,24074,21566,5111,3224,4442,10227
"187",7315,144870,75.5,38903,28444,16795,6937,6522,10450
"188",7316,41459,74.3,13471,7333,3039,1804,1448,3203
"189",7317,32266,63.8,8153,5945,730,1003,1515,2672
"190",7318,36773,71.6,10393,6654,2688,1290,1735,3139
"191",7319,59536,67.8,15201,12137,3039,2028,2326,4778
"192",7320,26956,65.2,6388,5359,1075,842,1408,2121
"193",7331,96910,74.4,27716,21692,5503,4346,3375,8236
"194",7332,104815,75.4,33468,21690,5792,4731,3506,8655
"195",7333,58996,71.2,15045,13469,2902,2008,2522,5193
"196",7334,94121,72.5,29524,17419,4668,3741,3104,8591
"197",7335,81916,73,24478,17462,3436,2590,3851,6780
"198",7336,58590,72.5,13695,15149,2411,1497,3774,5045
"199",7337,87379,75.3,28088,16709,5252,4356,3049,7122
"200",7338,116419,78.2,39154,23474,6778,5104,3879,11207
"201",7339,156932,78.5,50192,33011,12269,8034,5827,12150
"202",7340,80288,76.3,27417,15775,2703,3254,3390,7082
"205",8111,374255,76.7,109117,62235,44875,21468,18334,28512
"206",8115,257273,77.4,92379,39249,20443,14123,8527,22436
"207",8116,362586,77.7,126797,58263,33088,18132,12102,30700
"208",8117,179130,74,60058,28435,13275,7646,5569,16120
"209",8118,361623,77.7,123692,59442,31878,18463,12519,32265
"210",8119,294420,76.5,101413,44874,22592,16819,9993,27332
"211",8121,78215,68.6,22528,12353,5002,3669,3055,6357
"212",8125,238537,75.1,82678,37325,15175,11734,7429,22555
"213",8126,82210,72.3,28963,11160,5136,3777,2575,7059
"214",8127,142174,69.6,43872,20070,10505,6578,4960,11578
"215",8128,103412,74,39181,14441,5825,3965,3085,8925
"216",8135,95364,72.1,30553,16264,6167,3066,3761,8090
"217",8136,230348,74.1,87140,35007,13941,8129,6846,17413
"219",8211,39375,72,13257,5361,3072,2320,1226,2806
"220",8212,205735,72.9,55791,33785,22263,8978,8933,18856
"221",8215,323219,75.4,114252,49416,21706,14072,9894,31091
"222",8216,168180,71.2,58495,24682,10151,6116,4829,13642
"223",8221,97398,76.7,24637,16943,14020,5349,5134,8024
"224",8222,198525,69.4,47598,37367,15047,7427,10227,18078
"225",8225,110012,71.9,40335,15828,5159,3991,3294,9217
"226",8226,398436,76,127779,69289,29658,19335,14162,38532
"227",8231,77695,65,22131,10114,4191,3322,2787,7182
"228",8235,110794,74.5,41386,14372,6433,5033,3407,10928
"229",8236,142281,76.6,48866,21674,9890,7849,4461,14929
"230",8237,86885,72,31877,10913,4513,4161,2541,7706
"232",8311,154522,76.1,36179,26740,25785,5360,10702,11723
"233",8315,189733,76.6,65741,28943,20004,8173,6767,13968
"234",8316,121495,74.5,39278,19588,11779,4443,4255,9863
"235",8317,314830,69.9,104576,42267,22912,12082,9903,24550
"236",8325,103229,72.3,37728,12867,5262,4437,2769,10353
"237",8326,150608,71.4,52303,20138,9526,6297,4480,13196
"238",8327,96012,71.7,35270,11890,5123,4588,2832,8049
"239",8335,202393,72.9,63563,29504,18446,10735,7295,16273
"240",8336,162569,70.3,48679,24930,13853,6324,5513,13501
"241",8337,119277,70.6,41906,15636,7982,4668,3461,9279
"243",8415,199091,75.3,68394,28558,16195,10441,7089,17345
"244",8416,156792,79,49235,25676,19986,6728,8483,12683
"245",8417,139507,71.4,49690,18019,7682,5811,4511,12525
"246",8421,81980,73.9,24549,14107,7900,3352,3348,6754
"247",8425,138722,76.9,55821,19325,9123,5310,3739,12140
"248",8426,142958,74.4,59140,15723,9322,5104,3478,12101
"249",8435,155758,75.7,56218,21528,13799,7527,5181,12325
"250",8436,205820,73.5,75678,25357,18136,7794,6367,16394
"251",8437,96517,72.5,37883,10766,6474,3621,2633,7567
"254",9161,90203,62,27991,10751,4246,3025,2654,6816
"255",9162,917148,71.2,245767,155522,91401,50130,29872,77524
"256",9163,41491,64.8,12910,4758,2495,1363,1051,4131
"257",9171,82824,66.7,31675,8988,3142,2131,1670,7137
"258",9172,74581,67,28797,7241,4087,2153,1430,5789
"259",9173,91686,71.7,34821,9378,5387,3600,1849,10176
"260",9174,101801,74.3,40428,12650,5521,3355,2209,11009
"261",9175,96389,77,36838,13378,7039,4293,2080,10078
"262",9176,95946,74.6,40940,12222,4021,2586,2074,9109
"263",9177,95996,72.3,36012,10292,5548,3029,2098,12012
"264",9178,119336,73,41432,13972,9932,4085,2961,14098
"265",9179,153984,75.5,55729,22666,11390,6244,3642,15933
"266",9180,65339,71.1,26025,5653,3278,2815,1191,7063
"267",9181,87309,74.4,33467,10293,6751,3299,2076,8652
"268",9182,72254,73.4,28681,7540,3977,3329,1291,7830
"269",9183,84336,67.1,33323,7809,3252,2234,1571,7929
"270",9184,233398,77.4,84406,35540,17654,14940,5088,21864
"271",9185,70675,69,28877,7090,2579,1848,1461,6480
"272",9186,90579,70.2,34789,10432,4039,2967,1903,9071
"273",9187,189578,71.8,74659,19208,11136,6677,3637,19786
"274",9188,95828,78.2,34797,12384,8359,7777,1948,9332
"275",9189,132287,69.2,51554,13634,8247,3986,2763,10649
"276",9190,100076,72.7,36393,12396,5988,3347,2362,11721
"278",9261,48500,65.6,15567,5800,2996,1736,1286,4210
"279",9262,37827,64.1,11518,4906,2127,1413,1191,2908
"280",9263,34677,57.8,10826,3577,976,929,868,2722
"281",9271,91396,60.7,30903,9082,2542,2220,1776,8549
"282",9272,63686,60.3,21578,6356,1523,1337,1331,6005
"283",9273,87035,67.3,31979,9895,3352,2457,1662,8841
"284",9274,115738,70.2,44523,11465,5079,3796,2213,13581
"285",9275,148565,62.7,51247,16705,4768,3785,3208,12666
"286",9276,62635,60.7,21036,6958,1496,1441,1149,5576
"287",9277,91941,64.3,35112,8436,3076,2330,1579,8048
"288",9278,76461,69.9,32025,7255,1852,2283,1280,8300
"289",9279,71367,62.7,25389,7190,1920,1865,1174,6853
"291",9361,33306,61.1,9671,4708,1325,912,963,2634
"292",9362,103098,66.4,28921,14225,9009,3593,3433,8838
"293",9363,33252,62.4,9708,5370,1084,819,1027,2551
"294",9371,82545,70.9,29543,13189,3109,2094,1999,8001
"295",9372,102044,64.3,37506,9622,2718,2560,1871,10579
"296",9373,99295,72.7,40859,11139,4563,2627,2090,10310
"297",9374,76694,71.8,28234,12508,2315,1740,1678,8048
"298",9375,145722,71,53635,18677,6750,4242,3184,16132
"299",9376,114345,66.2,38947,17444,3209,2141,2634,10569
"300",9377,60457,71.2,24184,8606,1673,1394,1277,5494
"302",9461,54621,66,14843,7926,4740,1909,1966,4402
"303",9462,56951,66,16489,9312,3458,2506,1420,4173
"304",9463,32384,66.4,8557,6158,2002,1124,1109,2397
"305",9464,34371,63.3,9880,5396,1332,904,1163,2817
"306",9471,115365,72,44529,14703,4789,3311,2994,11982
"307",9472,85455,72.3,32024,14411,3315,2338,1803,7447
"308",9473,70831,70.8,22842,13999,2887,1990,2088,5952
"309",9474,89546,73.9,33037,12768,5174,3204,2273,9287
"310",9475,79530,70.7,27075,14320,2853,2042,2518,6956
"311",9476,56888,69.8,20168,10551,1420,1355,1218,4553
"312",9477,60507,69.9,20563,10679,2233,1524,1667,5270
"313",9478,54755,69,20285,7831,1757,1333,1195,4983
"314",9479,60668,67.4,18264,11690,2130,1472,1938,4887
"316",9561,31234,62.1,7735,5235,1942,815,1017,2487
"317",9562,76971,74.2,20905,14538,7996,3420,3010,6883
"318",9563,85689,65.2,19880,15851,5899,2636,3902,7239
"319",9564,348914,66.9,85719,64154,25157,11221,15305,29662
"320",9565,29916,70.8,8910,5519,1992,1016,954,2613
"321",9571,139866,69.6,46397,19895,8078,4882,3635,13523
"322",9572,102535,76.1,35035,18100,7399,4020,2830,10113
"323",9573,90538,74.7,29075,17166,5747,3201,2921,8987
"324",9574,129036,75,41465,24952,8969,4269,3695,12710
"325",9575,77376,70.7,26640,11468,4480,2414,1993,7208
"326",9576,97066,74.1,34716,16155,5278,3198,2699,9347
"327",9577,72543,68.8,24508,11560,3751,1922,1716,5999
"329",9661,50016,65.8,14256,7535,3442,1859,1438,3877
"330",9662,39119,60.1,10005,6072,1735,1032,1836,2573
"331",9663,99818,69,27301,15618,10174,4152,3347,7878
"332",9671,134155,73.3,47485,20873,7693,5144,3253,12491
"333",9672,84663,70.7,32498,10263,4022,2709,2574,7105
"334",9673,64940,71,25522,7466,2977,2221,2117,5259
"335",9674,68391,72.3,24740,10202,2875,2412,2255,6405
"336",9675,69454,71.2,24998,9865,3502,2145,1917,6557
"337",9676,96417,71.3,33678,14736,4570,3381,2391,9111
"338",9677,101345,73.4,36275,15750,5402,3032,2448,10656
"339",9678,91577,74.6,36261,12935,4666,2729,3187,7844
"340",9679,126779,77,46886,21607,9137,4333,3290,11548
"342",9761,187230,63.7,50572,26667,12951,5466,6814,15691
"343",9762,31405,62.5,9964,3405,1585,959,852,2719
"344",9763,48019,61.6,13660,5835,2662,1776,1459,4015
"345",9764,29909,63.9,9107,3883,1414,937,696,2909
"346",9771,98501,72.4,39742,10997,4899,3292,1982,9977
"347",9772,184614,71.3,69124,23183,9429,6105,4548,18352
"348",9773,72098,67.1,25844,7873,2785,2470,1545,7392
"349",9774,89221,66,32239,9655,3371,2505,1857,8744
"350",9775,122438,69,41121,17332,6178,4168,3636,11387
"351",9776,59070,69.6,20244,7076,4419,2374,1669,5020
