"","district","DistrictName","year","district_year","bodilyHarm","robberyFromOrOutOfCars","robberyOfCars","dangerousBodilyHarm","violentCrime","murderAndManslaughter","robberyIncludingExtortionAndAttackOfCarDrivers","vandalism","vandalismGraffiti","streetCrime","burglaryDaylight","burglary","EastWest","HusbandAndWifeTotal","PropwHochschulreife","PropwoHauptschulabschluss","UnemployedTotal","UnemployedTotal15to25","UnemployedPercentage","TotalArea","TotalPopulation","MalePopulation","FemalePopulation","DensityPerSQRTkm","Pop0to17","Pop18to24","Pop25to44","Pop45to64","PopOver65","InfluxTotal","OutflowTotal","BelieversProtestant","BelieversTotal","BelieversRomanCatholic","BelieversOthersNoNoResponse","EntitledVoteTotal","TurnoutPercentage","VoteConservativesTotal","VoteSocialDemocratsTotal","VoteGreensTotal","VoteLiberalsTotal","VoteLeftTotal","VoteOthersTotal","FoundationsDensity100k","FoundationsTotal","ForeignersTotal","MarriagePercentage","MalePercentage","YouthPercentage","ForeignerPercentage","FlowPercentage","MurderRate","CrimeViolent","ViolentCrimeRate","CrimeNonViolent","NonViolentCrimeRate","CrimeTotal","CrimeRate"
"26",3156,"Osterode am Harz",2013,"3156y2013",291,121,11,84,113,1,19,427,28,605,23,72,1,311,24.3,3.8,2954,275,8.7,636.02,74367,36275,38092,117,14.4,6.3,19.6,32.3,27.4,3458,3568,46229,76785,7447,23110,62441,71.4,16800,16984,2702,1706,2348,3564,18.4,14,2838,0.418196242957226,48.7783559912327,0.00847149945540361,3.81620880229134,9.44773891645488,1.34468245323867,85,114.298008525287,1306,1756.1552839297,1795,2413.70500356341
"27",3157,"Peine",2013,"3157y2013",397,365,40,152,187,5,18,654,87,1305,136,269,1,512,31.5,4.2,4153,431,6.7,534.93,130147,64003,66144,243,17.7,7.1,22.7,31.4,21,6737,6014,68664,130398,14787,46947,102787,75.4,27611,31189,5654,2529,3739,6102,10.8,14,6307,0.393401307752003,49.177468554788,0.00545536969734224,4.84605868748415,9.79738295926913,3.84180964601566,157,120.632822884892,2874,2208.2721845298,3615,2777.62837406932
"28",3158,"Wolfenbüttel",2013,"3158y2013",366,211,66,116,158,6,24,783,96,1148,54,130,1,590,30.6,4,3791,349,6.9,722.55,119900,58993,60907,166,16.2,7.3,21.5,32,22.9,7082,6605,63587,120774,13354,43832,97192,76.6,26780,26966,6577,2778,3664,6239,29.1,35,4510,0.492076730608841,49.2018348623853,0.0060884070058382,3.76146788990826,11.4153461217681,5.00417014178482,122,101.751459549625,2512,2095.07923269391,3158,2633.86155129274
"29",3241,"Region Hannover",2013,"3241y2013",7429,4867,642,2719,3701,31,801,10384,1812,21975,1697,3606,1,4833,38.9,4.9,48239,4589,9.1,2290.77,1119526,543339,576187,489,16.1,7.8,26.1,29,21,71121,62582,455191,1102240,141275,505776,847629,74.4,226524,216824,67797,27979,35722,48875,35,387,112637,0.431700558986571,48.5329505522873,0.000696723434739345,10.0611330152225,11.9428222301224,2.76902903550253,2750,245.639672504256,45784,4089.58791488541,59664,5329.39833465234
"30",3251,"Diepholz",2013,"3251y2013",775,535,52,231,354,8,90,1014,113,2517,156,382,1,924,28,3.5,5240,623,5.1,1987.94,209955,104085,105870,106,17,7.2,22.2,32,21.5,14981,14173,119693,211185,22263,69228,168362,73.8,53298,38823,10282,6194,5590,9062,14.3,30,9427,0.440094305922698,49.5749089090519,0.00342930627991713,4.49000976399705,13.8858326784311,3.81034031101903,239,113.833916791693,4859,2314.30544640518,6227,2965.87363958944
"31",3252,"Hameln-Pyrmont",2013,"3252y2013",714,415,30,293,371,8,53,852,61,1506,90,203,1,687,28.7,7.1,6206,709,9.1,796.14,147755,70939,76816,186,15.6,7.2,21,31.3,24.8,8160,7867,83665,150259,17026,49568,119218,71.4,31971,29587,7236,3334,4708,7001,28.1,42,9783,0.464958884640114,48.0112348143887,0.00487293154207979,6.62109573280092,10.8470102534601,5.41436838008866,301,203.715610300836,3210,2172.51531251057,4596,3110.55463436094
"32",3254,"Hildesheim",2013,"3254y2013",1393,608,63,434,579,7,104,2366,672,3492,215,524,1,1138,34.4,5.7,10920,1118,8.5,1205.95,274519,132832,141687,228,16,8.2,22.5,30.8,22.5,15670,15173,131877,277595,65697,80020,219571,75.1,63041,59319,14587,5589,8120,12341,21.3,59,14233,0.414543255658078,48.3871790295025,0.00298704279120935,5.18470488381496,11.2352879035695,2.54991457786164,441,160.644618405283,8044,2930.21612347415,10457,3809.20810581417
"33",3255,"Holzminden",2013,"3255y2013",291,80,14,111,136,3,17,424,38,538,20,92,1,297,18.9,7.2,2970,307,9.3,692.58,71877,35354,36523,104,15.6,7.6,20.6,31.2,25,4122,4063,45097,73548,8682,19768,58096,72.7,15315,15682,3441,2312,1962,3046,36.9,27,3135,0.413205893401227,49.1868052367238,0.0105736188210415,4.36161776367962,11.3875092171348,4.1737969030427,114,158.604282315623,1223,1701.51787080707,1764,2454.19257898911
"34",3256,"Nienburg (Weser)",2013,"3256y2013",388,259,39,143,230,9,65,485,27,1105,113,243,1,540,25.8,5,3951,447,6.9,1398.97,119848,59209,60639,86,17.1,7.7,22.1,31.8,21.3,9104,9015,79749,122241,8449,34044,95508,71,29226,22607,5186,2449,2813,4969,22.2,27,5281,0.450570722915693,49.4034109872505,0.00642480475268674,4.40641479206996,15.1183165342768,7.50951204859489,152,126.827314598491,2336,1949.13557172418,3106,2591.61604699286
"35",3257,"Schaumburg",2013,"3257y2013",534,523,50,189,272,3,65,1145,94,2066,101,232,1,708,38.1,3.7,5509,612,7.7,675.57,155599,75626,79973,230,16.1,7.1,21.3,31.8,23.7,10248,9736,91156,157496,16406,49935,125175,73.5,35159,34044,7458,3279,3962,7351,17.8,28,8231,0.455015777736361,48.6031401230085,0.00456301133040701,5.28987975501128,12.8432702009653,1.92803295651,192,123.39410921664,4276,2748.08964067892,5274,3389.48193754459
