"","year","district","PropwHochschulreife","PropwoHauptschulabschluss"
"387",2013,13003,43.4,13.1
"388",2013,13004,43.5,14.2
"389",2013,13005,NA,NA
"390",2013,13006,NA,NA
"391",2013,13051,NA,NA
"392",2013,13052,NA,NA
"393",2013,13053,NA,NA
"394",2013,13054,NA,NA
"395",2013,13055,NA,NA
"396",2013,13056,NA,NA
"397",2013,13057,NA,NA
"398",2013,13058,NA,NA
"399",2013,13059,NA,NA
"400",2013,13060,NA,NA
"401",2013,13061,NA,NA
"402",2013,13062,NA,NA
"403",2013,13071,33.5,10.8
"404",2013,13072,29.1,9.6
"405",2013,13073,24.8,9.8
"406",2013,13074,30.9,10.9
"407",2013,13075,28.7,12.2
"408",2013,13076,30.2,10.5
"411",2013,14161,NA,NA
"412",2013,14166,NA,NA
"413",2013,14167,NA,NA
"414",2013,14171,NA,NA
"415",2013,14173,NA,NA
"416",2013,14177,NA,NA
"417",2013,14178,NA,NA
"418",2013,14181,NA,NA
"419",2013,14182,NA,NA
"420",2013,14188,NA,NA
"421",2013,14191,NA,NA
"422",2013,14193,NA,NA
"424",2013,14262,NA,NA
"425",2013,14263,NA,NA
"426",2013,14264,NA,NA
"427",2013,14272,NA,NA
"428",2013,14280,NA,NA
"429",2013,14284,NA,NA
"430",2013,14285,NA,NA
"431",2013,14286,NA,NA
"432",2013,14287,NA,NA
"433",2013,14290,NA,NA
"434",2013,14292,NA,NA
"436",2013,14365,NA,NA
"437",2013,14374,NA,NA
"438",2013,14375,NA,NA
"439",2013,14379,NA,NA
"440",2013,14383,NA,NA
"441",2013,14389,NA,NA
"443",2013,14511,32.4,13
"444",2013,14521,23,8.3
"445",2013,14522,27.5,10.1
"446",2013,14523,27.6,8.9
"447",2013,14524,31.2,9.5
"449",2013,14612,37,8.6
"450",2013,14625,28.8,9
"451",2013,14626,23.2,11.7
"452",2013,14627,25.3,8.4
"453",2013,14628,24.5,10.2
"455",2013,14713,34.6,14.4
"456",2013,14729,26.1,8.7
"457",2013,14730,22.8,10.9
"459",2013,15001,31.9,11.8
"460",2013,15002,36,10.6
"461",2013,15003,36.2,9.7
"462",2013,15081,24.7,11.1
"463",2013,15082,24.6,12.3
"464",2013,15083,24.7,7.5
"465",2013,15084,35.1,10.3
"466",2013,15085,28.1,8.2
"467",2013,15086,22.6,12.4
"468",2013,15087,22,15.9
"469",2013,15088,20.3,10
"470",2013,15089,23,10.5
"471",2013,15090,23.7,11.6
"472",2013,15091,22.6,9
"474",2013,15101,NA,NA
"475",2013,15151,NA,NA
"476",2013,15153,NA,NA
"477",2013,15154,NA,NA
"478",2013,15159,NA,NA
"479",2013,15171,NA,NA
"481",2013,15202,NA,NA
"482",2013,15256,NA,NA
"483",2013,15260,NA,NA
"484",2013,15261,NA,NA
"485",2013,15265,NA,NA
"486",2013,15266,NA,NA
"487",2013,15268,NA,NA
"489",2013,15303,NA,NA
"490",2013,15352,NA,NA
"491",2013,15355,NA,NA
"492",2013,15357,NA,NA
"493",2013,15358,NA,NA
"494",2013,15362,NA,NA
"495",2013,15363,NA,NA
"496",2013,15364,NA,NA
"497",2013,15367,NA,NA
"498",2013,15369,NA,NA
"499",2013,15370,NA,NA
"501",2013,16051,39.7,9.3
"502",2013,16052,33.8,9
"503",2013,16053,55.6,5.3
"504",2013,16054,20.9,8.9
"505",2013,16055,44.5,7.8
"506",2013,16056,38.5,11.5
"507",2013,16061,34.9,6.2
"508",2013,16062,23.5,11.7
"509",2013,16063,27.4,4.5
"510",2013,16064,33,10.1
"511",2013,16065,25.9,11.9
"512",2013,16066,22.5,10.2
"513",2013,16067,36.6,6.3
"514",2013,16068,20.9,9.1
"515",2013,16069,17.7,5.5
"516",2013,16070,27.3,8.4
"517",2013,16071,21.5,7.3
"518",2013,16072,29.2,9.4
"519",2013,16073,26.9,9.9
"520",2013,16074,22.9,6.1
"521",2013,16075,27,6.5
"522",2013,16076,25.3,5.4
"523",2013,16077,28,5.6
"16",2013,2,58.1,5
"364",2013,11,41.7,7.2
