district;Landkreis/Stadt;Bundesland;Dichte;Anzahl
5166;Viersen, Kreis;Nordrhein-Westfalen;12,2;36
6432;Darmstadt-Dieburg, Landkreis;Hessen;12,7;36
7312;Kaiserslautern, Kreisfreie Stadt;Rheinland-Pfalz;37,1;36
8326;Schwarzwald-Baar-Kreis;Baden-WÙrttemberg;17,6;36
3158;WolfenbÙttel, Landkreis;Niedersachsen;29,1;35
9573;FÙrth, Stadt;Bayern;30,0;35
9761;Augsburg, Landkreis;Bayern;14,7;35
1001;Flensburg, Kreisfreie Stadt;Schleswig-Holstein;41,1;34
7111;Koblenz, Kreisfreie Stadt;Rheinland-Pfalz;31,5;34
7314;Ludwigshafen am Rhein, Kreisfreie Stadt;Rheinland-Pfalz;21,4;34
8425;Alb-Donau-Kreis;Baden-WÙrttemberg;18,2;34
8437;Sigmaringen, Landkreis;Baden-WÙrttemberg;26,7;34
9577;Wei¤enburg-Gunzenhausen, Landkreis;Bayern;36,9;34
15089;Salzlandkreis;Sachsen-Anhalt;16,7;34
3155;Northeim, Landkreis;Niedersachsen;24,2;33
5358;DÙren, Kreis;Nordrhein-Westfalen;12,8;33
8231;Pforzheim, Kreisfreie Stadt;Baden-WÙrttemberg;28,6;33
9180;Garmisch-Partenkirchen, Landkreis;Bayern;39,2;33
15003;Magdeburg, Kreisfreie Stadt;Sachsen-Anhalt;14,4;33
1051;Dithmarschen, Landkreis;Schleswig-Holstein;24,0;32
1059;Schleswig-Flensburg, Landkreis;Schleswig-Holstein;16,3;32
9182;Miesbach, Landkreis;Bayern;34,1;32
9562;Erlangen, Stadt;Bayern;30,7;32
9676;Miltenberg, Landkreis;Bayern;25,0;32
9762;Kaufbeuren, Stadt;Bayern;77,2;32
9776;Lindau (Bodensee), Landkreis;Bayern;40,8;32
10045;Saarpfalz-Kreis;Saarland;22,1;32
3452;Aurich, Landkreis;Niedersachsen;16,6;31
8417;Zollernalbkreis;Baden-WÙrttemberg;16,7;31
9189;Traunstein, Landkreis;Bayern;18,4;31
9777;Ostallg_u, Landkreis;Bayern;23,2;31
3251;Diepholz, Landkreis;Niedersachsen;14,3;30
5958;Hochsauerlandkreis;Nordrhein-Westfalen;11,3;30
6413;Offenbach am Main, Kreisfreie Stadt;Hessen;26,1;30
8126;Hohenlohekreis;Baden-WÙrttemberg;28,0;30
9275;Passau, Stadt;Bayern;61,7;30
9574;NÙrnberger Land, Landkreis;Bayern;18,3;30
15002;Halle (Saale), Kreisfreie Stadt;Sachsen-Anhalt;13,0;30
15085;Harz, Landkreis;Sachsen-Anhalt;13,3;30
5117;MÙlheim an der Ruhr, Kreisfreie Stadt;Nordrhein-Westfalen;17,4;29
8337;Waldshut, Landkreis;Baden-WÙrttemberg;17,8;29
9179;FÙrstenfeldbruck, Landkreis;Bayern;14,3;29
9190;Weilheim-Schongau, Landkreis;Bayern;22,5;29
13075;Landkreis Vorpommern-Greifswald;Mecklenburg-Vorpommern;12,0;29
14521;Erzgebirgskreis;Sachsen;8,1;29
1053;Herzogtum Lauenburg, Landkreis;Schleswig-Holstein;14,9;28
3257;Schaumburg, Landkreis;Niedersachsen;17,8;28
3356;Osterholz, Landkreis;Niedersachsen;25,3;28
5116;M_nchengladbach, Kreisfreie Stadt;Nordrhein-Westfalen;11,0;28
5366;Euskirchen, Kreis;Nordrhein-Westfalen;14,9;28
6533;Limburg-Weilburg, Landkreis;Hessen;16,4;28
9178;Freising, Landkreis;Bayern;17,0;28
9774;GÙnzburg, Landkreis;Bayern;23,3;28
9778;Unterallg_u, Landkreis;Bayern;20,6;28
3255;Holzminden, Landkreis;Niedersachsen;36,9;27
3256;Nienburg (Weser), Landkreis;Niedersachsen;22,2;27
3455;Friesland, Landkreis;Niedersachsen;27,6;27
6433;Gro¤-Gerau, Landkreis;Hessen;10,7;27
7318;Speyer, Kreisfreie Stadt;Rheinland-Pfalz;54,3;27
8216;Rastatt, Landkreis;Baden-WÙrttemberg;12,2;27
9181;Landsberg am Lech, Landkreis;Bayern;23,8;27
9475;Hof, Stadt;Bayern;60,7;27
9675;Kitzingen, Landkreis;Bayern;30,8;27
9764;Memmingen, Stadt;Bayern;65,5;27
3360;Uelzen, Landkreis;Niedersachsen;27,9;26
3361;Verden, Landkreis;Niedersachsen;19,7;26
3458;Oldenburg, Landkreis;Niedersachsen;20,8;26
6437;Odenwaldkreis;Hessen;26,9;26
7143;Westerwaldkreis;Rheinland-Pfalz;13,0;26
8121;Heilbronn, Kreisfreie Stadt;Baden-WÙrttemberg;22,3;26
8211;Baden-Baden, Kreisfreie Stadt;Baden-WÙrttemberg;49,6;26
9173;Bad T_lz-Wolfratshausen, Landkreis;Bayern;21,7;26
9575;Neustadt a.d.Aisch-Bad Windsheim, Landkreis;Bayern;26,7;26
1061;Steinburg, Landkreis;Schleswig-Holstein;19,2;25
3457;Leer, Landkreis;Niedersachsen;15,2;25
5914;Hagen, Kreisfreie Stadt;Nordrhein-Westfalen;13,3;25
7316;Neustadt an der Weinstra¤e, Kreisfreie Stadt;Rheinland-Pfalz;47,8;25
9571;Ansbach, Stadt;Bayern;63,1;25
9775;Neu-Ulm, Landkreis;Bayern;15,2;25
16053;Jena, krsfr. Stadt;ThÙringen;23,5;25
16055;Weimar, krsfr. Stadt;ThÙringen;39,8;25
1060;Segeberg, Landkreis;Schleswig-Holstein;9,2;24
6636;Werra-Mei¤ner-Kreis;Hessen;23,6;24
8127;Schw_bisch Hall, Landkreis;Baden-WÙrttemberg;12,9;24
9175;Ebersberg, Landkreis;Bayern;18,6;24
9373;Neumarkt i.d.OPf., Landkreis;Bayern;18,9;24
9477;Kulmbach, Landkreis;Bayern;32,6;24
9672;Bad Kissingen, Landkreis;Bayern;23,2;24
14522;Mittelsachsen, Landkreis;Sachsen;7,5;24
5762;H_xter, Kreis;Nordrhein-Westfalen;15,9;23
9187;Rosenheim, Stadt;Bayern;38,6;23
9462;Bayreuth, Landkreis;Bayern;21,9;23
9464;Hof, Landkreis;Bayern;23,3;23
9671;Aschaffenburg, Stadt;Bayern;34,1;23
4012;Bremerhaven, Kreisfreie Stadt;Bremen;20,3;22
8128;Main-Tauber-Kreis;Baden-WÙrttemberg;16,9;22
9273;Kelheim, Landkreis;Bayern;19,4;22
9371;Amberg-Sulzbach, Landkreis;Bayern;21,2;22
9473;Coburg, Stadt;Bayern;53,7;22
9677;Main-Spessart, Landkreis;Bayern;17,3;22
14524;Zwickau, Landkreis;Sachsen;6,6;22
3461;Wesermarsch, Landkreis;Niedersachsen;23,5;21
5370;Heinsberg, Kreis;Nordrhein-Westfalen;8,5;21
5513;Gelsenkirchen, Kreisfreie Stadt;Nordrhein-Westfalen;8,1;21
6635;Waldeck-Frankenberg, Landkreis;Hessen;13,3;21
7140;Rhein-HunsrÙck-Kreis;Rheinland-Pfalz;20,7;21
13071;Landkreis Mecklenburgische Seenplatte;Mecklenburg-Vorpommern;7,9;21
14628;S_chsische Schweiz-Osterzgebirge, Landkreis;Sachsen;8,5;21
15082;Anhalt-Bitterfeld, Landkreis;Sachsen-Anhalt;12,3;21
3456;Grafschaft Bentheim, Landkreis;Niedersachsen;15,0;20
5316;Leverkusen, Kreisfreie Stadt;Nordrhein-Westfalen;12,5;20
6535;Vogelsbergkreis;Hessen;18,5;20
6633;Kassel, Landkreis;Hessen;8,5;20
7131;Ahrweiler, Landkreis;Rheinland-Pfalz;15,9;20
7338;Rhein-Pfalz-Kreis;Rheinland-Pfalz;13,6;20
8235;Calw, Landkreis;Baden-WÙrttemberg;13,2;20
8316;Emmendingen, Landkreis;Baden-WÙrttemberg;12,8;20
9176;Eichst_tt, Landkreis;Bayern;16,1;20
9271;Deggendorf, Landkreis;Bayern;17,4;20
9673;Rh_n-Grabfeld, Landkreis;Bayern;24,9;20
13003;Kreisfreie Stadt Rostock, Hansestadt;Mecklenburg-Vorpommern;9,9;20
13004;Kreisfreie Stadt Schwerin, Landeshauptstadt;Mecklenburg-Vorpommern;21,9;20
13073;Landkreis Vorpommern-RÙgen;Mecklenburg-Vorpommern;8,9;20
13076;Landkreis Ludwigslust-Parchim;Mecklenburg-Vorpommern;9,4;20
3354;LÙchow-Dannenberg, Landkreis;Niedersachsen;38,7;19
7134;Birkenfeld, Landkreis;Rheinland-Pfalz;23,1;19
7141;Rhein-Lahn-Kreis;Rheinland-Pfalz;15,5;19
7232;Eifelkreis Bitburg-PrÙm;Rheinland-Pfalz;19,8;19
7319;Worms, Kreisfreie Stadt;Rheinland-Pfalz;23,9;19
8325;Rottweil, Landkreis;Baden-WÙrttemberg;14,0;19
9479;Wunsiedel i.Fichtelgebirge, Landkreis;Bayern;25,2;19
13074;Landkreis Nordwestmecklenburg;Mecklenburg-Vorpommern;12,2;19
14625;Bautzen, Landkreis;Sachsen;6,1;19
5119;Oberhausen, Kreisfreie Stadt;Nordrhein-Westfalen;8,6;18
8135;Heidenheim, Landkreis;Baden-WÙrttemberg;14,1;18
9474;Forchheim, Landkreis;Bayern;15,9;18
9476;Kronach, Landkreis;Bayern;25,9;18
9773;Dillingen a.d.Donau, Landkreis;Bayern;19,3;18
3103;Wolfsburg, Kreisfreie Stadt;Niedersachsen;14,1;17
5120;Remscheid, Kreisfreie Stadt;Nordrhein-Westfalen;15,4;17
5966;Olpe, Kreis;Nordrhein-Westfalen;12,5;17
7337;SÙdliche Weinstra¤e, Landkreis;Rheinland-Pfalz;15,7;17
8225;Neckar-Odenwald-Kreis;Baden-WÙrttemberg;11,9;17
9185;Neuburg-Schrobenhausen, Landkreis;Bayern;18,7;17
9262;Passau, Landkreis;Bayern;9,2;17
9361;Amberg, Stadt;Bayern;40,7;17
9376;Schwandorf, Landkreis;Bayern;11,9;17
9661;Aschaffenburg, Landkreis;Bayern;9,9;17
10044;Saarlouis, Landkreis;Saarland;8,6;17
14511;Chemnitz, Stadt;Sachsen;7,1;17
14523;Vogtlandkreis;Sachsen;7,1;17
14627;Mei¤en, Landkreis;Sachsen;6,9;17
14713;Leipzig, Landkreis;Sachsen;6,5;17
15091;Wittenberg, Landkreis;Sachsen-Anhalt;12,9;17
3151;Gifhorn, Landkreis;Niedersachsen;9,4;16
3405;Wilhelmshaven, Kreisfreie Stadt;Niedersachsen;20,8;16
7313;Landau in der Pfalz, Kreisfreie Stadt;Rheinland-Pfalz;36,8;16
7334;Germersheim, Landkreis;Rheinland-Pfalz;12,9;16
8236;Enzkreis;Baden-WÙrttemberg;8,4;16
9662;Schweinfurt, Landkreis;Bayern;14,2;16
10046;St. Wendel, Landkreis;Saarland;17,8;16
15084;Burgenlandkreis;Sachsen-Anhalt;8,5;16
16056;Eisenach, krsfr. Stadt;ThÙringen;38,4;16
7235;Trier-Saarburg, Landkreis;Rheinland-Pfalz;10,5;15
8237;Freudenstadt, Landkreis;Baden-WÙrttemberg;13,0;15
9161;Ingolstadt, Stadt;Bayern;11,9;15
9171;Alt_tting, Landkreis;Bayern;14,1;15
9274;Landshut, Stadt;Bayern;23,3;15
9363;Weiden i.d.OPf., Stadt;Bayern;35,9;15
9576;Roth, Landkreis;Bayern;12,2;15
12060;Barnim, Landkreis;Brandenburg;8,7;15
16061;Eichsfeld, Kreis;ThÙringen;14,7;15
16064;Unstrut-Hainich-Kreis;ThÙringen;14,2;15
1004;NeumÙnster, Kreisfreie Stadt;Schleswig-Holstein;18,1;14
3156;Osterode am Harz, Landkreis;Niedersachsen;18,4;14
3157;Peine, Landkreis;Niedersachsen;10,8;14
7132;Altenkirchen (Westerwald), Landkreis;Rheinland-Pfalz;10,8;14
