"","district","DistrictName","year","district_year","bodilyHarm","robberyFromOrOutOfCars","robberyOfCars","dangerousBodilyHarm","violentCrime","murderAndManslaughter","robberyIncludingExtortionAndAttackOfCarDrivers","vandalism","vandalismGraffiti","streetCrime","burglaryDaylight","burglary"
"169",5366,"Euskirchen",2013,"5366y2013",649,894,57,254,345,2,81,1214,117,11382,244,525
"170",5370,"Heinsberg",2013,"5370y2013",1095,1428,175,344,503,5,125,1991,201,17297,371,816
"171",5374,"Oberbergischer Kreis",2013,"5374y2013",964,749,109,328,464,6,101,1538,98,13177,254,597
"172",5378,"Rheinisch-Bergischer Kreis",2013,"5378y2013",904,1100,57,248,360,1,90,1676,236,14262,391,857
"173",5382,"Rhein-Sieg-Kreis",2013,"5382y2013",1752,2731,151,662,1036,10,313,3860,487,33932,900,2079
"174",5512,"Bottrop",2013,"5512y2013",471,821,39,190,273,4,71,753,42,8942,177,374
"175",5513,"Gelsenkirchen",2013,"5513y2013",1737,2120,139,613,1025,8,376,2141,194,25331,587,1153
"176",5515,"Münster",2013,"5515y2013",1587,1115,119,559,833,1,243,3280,675,28777,392,931
"177",5554,"Borken",2013,"5554y2013",1453,1344,116,395,563,3,142,2221,116,24610,237,673
"178",5558,"Coesfeld",2013,"5558y2013",786,818,87,204,295,1,74,1563,155,13242,245,535
"179",5562,"Recklinghausen",2013,"5562y2013",2858,3691,222,966,1505,11,452,5405,586,50955,912,2131
"180",5566,"Steinfurt",2013,"5566y2013",1572,1329,94,429,598,1,141,2911,311,27251,288,678
"181",5570,"Warendorf",2013,"5570y2013",939,662,50,229,335,2,78,1814,196,14122,188,472
"182",5711,"Bielefeld",2013,"5711y2013",1648,1313,92,474,724,3,200,2304,656,26001,325,718
"183",5754,"Gütersloh",2013,"5754y2013",1068,887,86,364,533,8,139,1745,155,17641,241,556
"184",5758,"Herford",2013,"5758y2013",823,930,86,241,382,5,115,1311,171,13243,170,405
"185",5762,"Höxter",2013,"5762y2013",561,233,39,185,218,2,24,969,112,7051,18,75
"186",5766,"Lippe",2013,"5766y2013",828,919,77,408,574,10,124,1549,183,14689,169,466
"187",5770,"Minden-Lübbecke",2013,"5770y2013",810,1099,87,302,470,7,138,1548,294,15722,196,525
"188",5774,"Paderborn",2013,"5774y2013",1086,956,63,412,566,3,120,1755,211,17753,145,365
"189",5911,"Bochum",2013,"5911y2013",2466,2924,152,872,1337,9,417,3810,489,38342,750,1549
"190",5913,"Dortmund",2013,"5913y2013",3975,6593,336,1935,3257,19,1221,6362,1291,80540,1293,2464
"191",5914,"Hagen",2013,"5914y2013",1010,979,55,320,553,2,212,1817,240,16346,318,630
"192",5915,"Hamm",2013,"5915y2013",793,1092,47,297,455,4,120,1724,245,14766,168,348
"193",5916,"Herne",2013,"5916y2013",1015,1093,80,246,409,3,146,1592,169,15483,292,619
"194",5954,"Ennepe-Ruhr-Kreis",2013,"5954y2013",1328,1332,91,395,589,4,173,2922,429,21553,554,1079
"195",5958,"Hochsauerlandkreis",2013,"5958y2013",949,846,43,232,358,9,89,1824,194,14777,92,311
"196",5962,"Märkischer Kreis",2013,"5962y2013",2117,1984,105,583,875,14,234,3888,275,26386,449,974
"197",5966,"Olpe",2013,"5966y2013",560,304,31,170,209,1,33,951,79,6825,68,170
"198",5970,"Siegen-Wittgenstein",2013,"5970y2013",1112,644,38,381,483,1,81,2302,344,16892,133,322
"199",5974,"Soest",2013,"5974y2013",1245,954,75,372,521,4,118,2479,271,18710,226,549
"200",5978,"Unna",2013,"5978y2013",1676,1807,127,556,872,5,272,3565,577,29338,620,1362
"201",6411,"Darmstadt",2013,"6411y2013",574,459,29,315,438,1,109,1098,282,11218,91,208
"202",6412,"Frankfurt am Main",2013,"6412y2013",3914,5609,284,2176,3315,34,1016,7296,1664,112049,838,2130
"203",6413,"Offenbach am Main",2013,"6413y2013",568,929,41,314,558,8,210,902,131,13343,219,460
"204",6414,"Wiesbaden",2013,"6414y2013",1635,1606,72,792,1062,13,222,2350,221,23017,261,555
"205",6431,"Bergstraße",2013,"6431y2013",537,752,28,228,324,10,79,1051,66,10787,132,353
"206",6432,"Darmstadt-Dieburg",2013,"6432y2013",583,619,39,236,308,7,56,1067,104,9583,125,330
"207",6433,"Groß-Gerau",2013,"6433y2013",454,645,38,202,289,5,67,1064,72,10546,210,394
"208",6434,"Hochtaunuskreis",2013,"6434y2013",600,644,67,213,309,9,69,1382,171,10612,306,713
"209",6435,"Main-Kinzig-Kreis",2013,"6435y2013",908,1034,80,350,582,16,175,2042,318,19883,268,746
"210",6436,"Main-Taunus-Kreis",2013,"6436y2013",621,801,51,275,356,3,64,1202,67,10422,250,610
"211",6437,"Odenwaldkreis",2013,"6437y2013",193,110,6,76,102,0,22,370,25,2674,22,59
"212",6438,"Offenbach",2013,"6438y2013",831,1203,77,375,582,6,175,1684,216,16914,331,798
"213",6439,"Rheingau-Taunus-Kreis",2013,"6439y2013",420,450,24,149,203,3,35,952,109,6230,119,306
"214",6440,"Wetteraukreis",2013,"6440y2013",786,762,82,292,408,15,89,1609,102,12829,187,451
"215",6531,"Gießen",2013,"6531y2013",880,649,70,350,512,22,111,1341,116,16613,176,476
"216",6532,"Lahn-Dill-Kreis",2013,"6532y2013",584,490,35,216,320,25,62,962,85,9481,144,312
"217",6533,"Limburg-Weilburg",2013,"6533y2013",464,615,32,212,280,11,39,793,46,8645,99,235
"218",6534,"Marburg-Biedenkopf",2013,"6534y2013",835,389,31,251,371,11,83,1454,255,10717,71,208
"219",6535,"Vogelsbergkreis",2013,"6535y2013",275,217,12,91,119,5,15,446,16,3763,25,82
"220",6611,"Kassel",2013,"6611y2013",936,1012,121,483,769,16,246,1747,356,19545,200,422
"221",6631,"Fulda",2013,"6631y2013",622,486,26,249,342,7,74,1137,241,10813,45,131
"222",6632,"Hersfeld-Rotenburg",2013,"6632y2013",391,368,21,136,207,7,59,626,41,6350,31,133
"223",6633,"Kassel",2013,"6633y2013",407,375,79,198,256,3,44,965,128,7588,117,285
"224",6634,"Schwalm-Eder-Kreis",2013,"6634y2013",413,403,39,165,244,8,56,813,90,7057,67,209
"225",6635,"Waldeck-Frankenberg",2013,"6635y2013",412,327,22,135,192,3,44,607,59,5509,33,110
"226",6636,"Werra-Meißner-Kreis",2013,"6636y2013",328,239,32,95,137,6,25,707,79,5139,23,79
"227",7111,"Koblenz",2013,"7111y2013",1077,485,46,343,429,2,77,1980,889,12704,100,198
"228",7131,"Ahrweiler",2013,"7131y2013",596,427,54,211,258,1,35,1061,136,9844,124,304
"229",7132,"Altenkirchen (Westerwald)",2013,"7132y2013",704,245,38,231,270,0,32,883,51,8066,47,141
"230",7133,"Bad Kreuznach",2013,"7133y2013",871,412,27,270,372,4,79,1144,68,11034,79,218
"231",7134,"Birkenfeld",2013,"7134y2013",393,204,16,107,132,2,13,563,48,4359,35,106
"232",7135,"Cochem-Zell",2013,"7135y2013",301,128,15,72,83,2,7,318,30,2925,34,66
"233",7137,"Mayen-Koblenz",2013,"7137y2013",860,472,45,286,350,3,47,1236,108,10840,136,324
"234",7138,"Neuwied",2013,"7138y2013",811,439,43,237,330,4,72,1211,143,11263,159,327
"235",7140,"Rhein-Hunsrück-Kreis",2013,"7140y2013",276,259,19,101,132,0,24,526,60,4833,24,83
"236",7141,"Rhein-Lahn-Kreis",2013,"7141y2013",495,171,21,139,177,0,24,681,35,5835,48,125
"237",7143,"Westerwaldkreis",2013,"7143y2013",827,539,62,202,251,2,29,1069,156,9324,120,272
"238",7211,"Trier",2013,"7211y2013",893,366,39,305,413,1,101,1466,123,13790,56,152
"239",7231,"Bernkastel-Wittlich",2013,"7231y2013",508,298,40,149,186,3,19,551,38,5561,57,98
"240",7232,"Eifelkreis Bitburg-Prüm",2013,"7232y2013",284,229,27,89,117,0,17,374,17,4194,82,136
"241",7233,"Vulkaneifel",2013,"7233y2013",258,151,11,68,80,1,7,344,47,2895,27,56
"242",7235,"Trier-Saarburg",2013,"7235y2013",406,242,24,130,157,1,18,637,28,5303,60,142
"243",7311,"Frankenthal (Pfalz)",2013,"7311y2013",357,138,17,110,158,0,42,450,71,4268,36,70
"244",7312,"Kaiserslautern",2013,"7312y2013",1150,1142,43,457,592,3,122,1340,169,12852,83,198
"245",7313,"Landau in der Pfalz",2013,"7313y2013",329,219,17,116,154,0,29,594,55,4180,24,63
"246",7314,"Ludwigshafen am Rhein",2013,"7314y2013",1770,1045,44,560,795,5,202,1685,129,18354,113,249
"247",7315,"Mainz",2013,"7315y2013",1786,693,56,597,754,7,131,1968,374,19540,187,369
"248",7316,"Neustadt an der Weinstraße",2013,"7316y2013",339,290,10,172,196,1,18,478,44,4004,37,85
"249",7317,"Pirmasens",2013,"7317y2013",309,250,10,122,167,3,38,466,35,3624,24,79
"250",7318,"Speyer",2013,"7318y2013",412,214,15,112,149,0,31,494,21,4433,32,96
"251",7319,"Worms",2013,"7319y2013",573,408,33,239,371,0,114,741,83,7883,83,149
"252",7320,"Zweibrücken",2013,"7320y2013",185,193,14,53,71,0,17,291,27,2328,20,42
"253",7331,"Alzey-Worms",2013,"7331y2013",404,387,12,131,164,2,24,629,51,6486,76,178
"254",7332,"Bad Dürkheim",2013,"7332y2013",703,480,23,226,283,0,50,881,57,7836,73,215
