"","year","district","GraduatesTotal","GraduatesWithHouthDegreeTotal","GraduatesWithHauptschulDegreeTotal","GraduatesWithRealschulDegreeTotal","GraduatesWithFachhochschulDegreeTotal","GraduatesWithHochschulreifeDegreeTotal"
"201",2013,7337,1069,52,102,538,13,364
"202",2013,7338,1068,42,245,626,7,148
"203",2013,7339,1921,81,313,741,43,743
"204",2013,7340,752,17,213,399,9,114
"207",2013,8111,5467,244,855,2127,45,2196
"208",2013,8115,4244,167,819,1995,0,1263
"209",2013,8116,5578,218,1140,2471,36,1713
"210",2013,8117,2888,134,552,1471,11,720
"211",2013,8118,5555,263,881,2784,7,1620
"212",2013,8119,4599,238,793,2359,27,1182
"213",2013,8121,1728,63,403,782,0,480
"214",2013,8125,3603,146,822,1838,0,797
"215",2013,8126,1333,57,344,648,0,284
"216",2013,8127,2390,107,554,1175,7,547
"217",2013,8128,1710,69,407,859,0,375
"218",2013,8135,1583,67,386,728,0,402
"219",2013,8136,4090,160,868,1958,18,1086
"221",2013,8211,627,31,134,176,0,286
"222",2013,8212,2595,154,293,1057,17,1074
"223",2013,8215,4749,176,803,2488,0,1282
"224",2013,8216,2314,134,528,1117,1,534
"225",2013,8221,1526,24,178,478,3,843
"226",2013,8222,2918,168,381,1370,26,973
"227",2013,8225,1758,85,501,725,0,447
"228",2013,8226,4990,229,861,2420,0,1480
"229",2013,8231,1594,79,357,654,9,495
"230",2013,8235,1873,77,398,961,0,437
"231",2013,8236,1968,85,375,1109,0,399
"232",2013,8237,1333,78,317,680,0,258
"234",2013,8311,2432,127,355,858,15,1077
"235",2013,8315,2667,100,489,1301,0,777
"236",2013,8316,1806,105,441,937,0,323
"237",2013,8317,5271,216,1161,2470,8,1416
"238",2013,8325,1621,63,388,756,0,414
"239",2013,8326,2589,160,525,1324,8,572
"240",2013,8327,1672,77,363,890,0,342
"241",2013,8335,2917,108,719,1308,0,782
"242",2013,8336,2624,82,633,1228,23,658
"243",2013,8337,1942,90,475,946,0,431
"245",2013,8415,3253,160,706,1471,34,882
"246",2013,8416,2516,137,455,967,2,955
"247",2013,8417,2248,102,496,1214,0,436
"248",2013,8421,1634,77,255,619,0,683
"249",2013,8425,2065,95,498,1093,0,379
"250",2013,8426,2461,108,555,1279,0,519
"251",2013,8435,2492,150,483,1210,8,641
"252",2013,8436,3879,207,731,2078,1,862
"253",2013,8437,1743,100,274,883,0,486
"256",2013,9161,1708,75,323,749,0,561
"257",2013,9162,11473,684,2489,4541,0,3759
"258",2013,9163,1027,64,180,447,0,336
"259",2013,9171,1243,40,291,624,0,288
"260",2013,9172,1073,49,264,523,0,237
"261",2013,9173,1508,33,297,725,0,453
"262",2013,9174,1523,76,423,637,0,387
"263",2013,9175,1418,81,209,623,0,505
"264",2013,9176,1321,23,266,746,0,286
"265",2013,9177,1440,40,402,658,0,340
"266",2013,9178,1844,68,356,971,0,449
"267",2013,9179,2139,58,362,879,0,840
"268",2013,9180,1006,22,195,419,0,370
"269",2013,9181,1457,78,303,691,0,385
"270",2013,9182,1005,30,221,554,0,200
"271",2013,9183,1429,72,345,716,0,296
"272",2013,9184,2916,98,393,1016,0,1409
"273",2013,9185,1194,43,255,656,0,240
"274",2013,9186,1197,75,309,531,0,282
"275",2013,9187,2478,107,527,1318,0,526
"276",2013,9188,1185,42,154,452,0,537
"277",2013,9189,2064,80,445,1046,0,493
"278",2013,9190,1657,59,350,838,0,410
"280",2013,9261,1114,36,162,565,0,351
"281",2013,9262,898,33,143,445,0,277
"282",2013,9263,981,49,176,399,0,357
"283",2013,9271,1407,51,324,708,1,323
"284",2013,9272,846,25,220,402,0,199
"285",2013,9273,1229,47,345,530,0,307
"286",2013,9274,1362,43,451,701,0,167
"287",2013,9275,1798,61,479,892,0,366
"288",2013,9276,819,27,244,413,0,135
"289",2013,9277,1400,55,384,681,0,280
"290",2013,9278,783,16,261,360,0,146
"291",2013,9279,1012,27,326,412,0,247
"293",2013,9361,886,60,129,400,0,297
"294",2013,9362,1937,92,329,790,0,726
"295",2013,9363,872,28,127,441,0,276
"296",2013,9371,712,18,270,347,0,77
"297",2013,9372,1469,29,397,761,0,282
"298",2013,9373,1609,40,447,759,0,363
"299",2013,9374,853,32,293,381,0,147
"300",2013,9375,1097,31,389,527,0,150
"301",2013,9376,1543,39,368,754,0,382
"302",2013,9377,715,27,184,400,0,104
"304",2013,9461,1399,43,150,431,0,775
"305",2013,9462,1274,50,168,511,0,545
"306",2013,9463,862,46,77,427,0,312
"307",2013,9464,801,48,154,327,0,272
"308",2013,9471,911,28,344,539,0,0
"309",2013,9472,740,26,199,429,0,86
"310",2013,9473,509,29,233,147,0,100
"311",2013,9474,1213,38,231,596,0,348
"312",2013,9475,727,31,203,328,0,165
"313",2013,9476,688,29,130,341,0,188
"314",2013,9477,689,59,196,240,0,194
"315",2013,9478,765,43,135,424,0,163
"316",2013,9479,921,51,181,445,0,244
"318",2013,9561,803,23,109,353,0,318
"319",2013,9562,1345,51,144,479,0,671
"320",2013,9563,1260,99,264,533,0,364
"321",2013,9564,4792,360,1213,1791,0,1428
"322",2013,9565,664,31,96,290,0,247
"323",2013,9571,1993,130,451,1041,0,371
"324",2013,9572,1367,33,311,509,0,514
"325",2013,9573,894,19,182,340,0,353
"326",2013,9574,1800,115,428,730,0,527
"327",2013,9575,1208,61,196,664,0,287
"328",2013,9576,1216,77,293,532,0,314
"329",2013,9577,1028,27,219,506,0,276
"331",2013,9661,1253,47,179,543,0,484
"332",2013,9662,1322,66,199,560,5,492
"333",2013,9663,2098,115,250,905,0,828
"334",2013,9671,1511,73,413,704,0,321
"335",2013,9672,1105,19,297,489,0,300
"336",2013,9673,1122,46,266,524,0,286
"337",2013,9674,1071,34,254,542,0,241
"338",2013,9675,1427,56,237,638,0,496
"339",2013,9676,1393,46,410,637,0,300
"340",2013,9677,1471,36,287,769,0,379
"341",2013,9678,553,32,276,245,0,0
"342",2013,9679,744,29,233,368,0,114
"344",2013,9761,3192,147,753,1248,0,1044
"345",2013,9762,764,39,151,351,0,223
"346",2013,9763,1170,78,220,601,0,271
"347",2013,9764,807,53,151,423,0,180
"348",2013,9771,1175,43,336,595,0,201
"349",2013,9772,2344,134,679,1081,0,450
"350",2013,9773,1126,47,277,514,0,288
"351",2013,9774,1747,125,337,808,0,477
"352",2013,9775,1647,106,423,766,0,352
"353",2013,9776,732,31,153,336,0,212
