"","district","DistrictName.y","year","district_year","bodilyHarm","robberyFromOrOutOfCars","robberyOfCars","dangerousBodilyHarm","violentCrime","murderAndManslaughter","robberyIncludingExtortionAndAttackOfCarDrivers","vandalism","vandalismGraffiti","streetCrime","burglaryDaylight","burglary","HusbandAndWifeTotal","PropwHochschulreife","PropwoHauptschulabschluss","UnemployedTotal","UnemployedTotal15to25","UnemployedPercentage","TotalArea","TotalPopulation","MalePopulation","FemalePopulation","DensityPerSQRTkm","Pop0to17","Pop18to24","Pop25to44","Pop45to64","PopOver65","InfluxTotal","OutflowTotal","BelieversProtestant","BelieversTotal","BelieversRomanCatholic","BelieversOthersNoNoResponse","EntitledVoteTotal","TurnoutPercentage","VoteConservativesTotal","VoteSocialDemocratsTotal","VoteGreensTotal","VoteLiberalsTotal","VoteLeftTotal","VoteOthersTotal","FoundationsDensity100k","FoundationsTotal"
"35",3351,"Celle",2013,"3351y2013",919,482,52,312,423,13,69,1208,144,11254,107,311,898,23,5.7,6621,743,8.3,1545.18,175552,85778,89774,114,17.3,7.4,22.3,30.6,22.5,10486,9918,99230,176690,14158,63302,139513,72.5,45684,29130,7050,4430,4338,9702,28.4,50
"36",3352,"Cuxhaven",2013,"3352y2013",744,441,60,330,449,5,92,1006,60,10952,140,462,1211,21.6,7.2,6133,662,6.9,2057.77,196607,96090,100517,96,16.7,6.8,21.2,31.6,23.8,11674,11353,121551,198777,13282,63945,158469,73.3,49992,38767,8252,4058,5521,8520,18.7,37
"37",3353,"Harburg",2013,"3353y2013",879,1045,173,238,355,9,84,1612,314,13756,419,1029,1148,32.8,2.9,6233,627,5.4,1244.97,242871,118324,124547,195,17.7,6.7,22.3,31.8,21.5,18131,15626,106788,238443,15302,116352,194856,78.4,64905,42915,14078,7382,6641,15679,16.7,40
"38",3354,"Lüchow-Dannenberg",2013,"3354y2013",170,107,13,63,85,3,12,357,106,2325,12,31,212,25.2,5.3,2353,229,12,1220.65,48670,23949,24721,40,15.4,6.5,19.7,31.9,26.4,3728,3624,29878,49205,2579,16748,39827,72.3,10435,7778,4436,1032,2537,2274,38.7,19
"39",3355,"Lüneburg",2013,"3355y2013",1018,638,112,331,440,3,92,1548,299,12538,132,315,1055,35.1,4,5990,549,7.2,1323.5,176727,85766,90961,134,17.8,8.2,25.2,29.9,19,14598,13285,87679,174123,12520,73924,139242,75.3,38321,30637,14456,4249,6665,9596,36.1,63
"40",3356,"Osterholz",2013,"3356y2013",392,303,18,153,218,5,50,584,48,5642,120,378,533,30.3,6,2621,319,5,650.79,110882,54355,56527,170,16.9,6.8,21.7,32.5,22.1,6263,5753,61858,110907,7139,41910,89204,74.9,25256,22453,6247,2325,4004,5401,25.3,28
"41",3357,"Rotenburg (Wümme)",2013,"3357y2013",848,532,60,347,472,12,82,983,84,10544,166,439,685,25.9,4.7,3888,438,5,2070.3,161308,80823,80485,78,18.1,8,23.2,31,19.7,9931,9887,106286,162726,8384,48056,128090,74.1,43782,27984,7623,4004,3806,7062,27.1,44
"42",3358,"Landkreis Heidekreis",2013,"3358y2013",828,483,61,268,353,8,51,1181,171,10721,134,389,592,25.2,7.6,4927,616,7.5,1873.67,136251,67473,68778,73,17.2,7.8,22.5,30.8,21.8,8880,7869,84337,136693,9697,42659,108738,72.8,34183,25215,6138,3031,3587,6434,33.7,69
"43",3359,"Stade",2013,"3359y2013",710,443,61,231,367,6,112,1189,157,10876,109,261,1082,26.6,5.1,6509,760,6.8,1266.02,196516,97880,98636,155,17.8,7.7,23.8,30.5,20.2,14952,13877,106173,195450,11679,77598,155168,74,49377,36184,9120,4784,4920,9636,21,41
"44",3360,"Uelzen",2013,"3360y2013",312,241,34,96,145,2,35,649,88,5367,33,69,390,25.8,3.3,3197,355,7.8,1454.14,92356,44952,47404,64,16,7.2,21.1,31.5,24.3,6093,5783,59511,93596,6143,27941,75772,73.7,22884,17801,5021,2048,2747,4862,27.9,26
"45",3361,"Verden",2013,"3361y2013",544,444,69,171,260,9,53,782,79,9073,198,546,640,29.4,4.8,4006,311,6.2,787.95,132459,64637,67822,168,17.8,7.3,22.6,31.4,20.8,8044,7404,72758,132300,8757,50785,104439,74.8,31987,24960,7461,2910,4004,6207,19.7,26
"46",3401,"Delmenhorst",2013,"3401y2013",428,325,11,156,248,0,82,628,105,7855,83,219,304,26.3,6.8,4207,425,11.9,62.36,74052,36407,37645,1187,16.5,8.2,23.4,29.8,22.1,4155,3459,28952,73322,10148,34222,57824,67.4,14306,14003,2643,1347,2547,3708,13.6,10
"47",3402,"Emden",2013,"3402y2013",380,215,7,153,195,0,32,597,48,4629,16,60,228,28.7,9.3,2335,276,10,112.35,49790,24477,25313,443,16.7,9.8,24.9,28.1,20.5,2956,2706,30780,49787,3946,15061,38946,67.2,6721,12570,2369,811,1564,1834,22.1,11
"48",3403,"Oldenburg (Oldenburg)",2013,"3403y2013",807,514,47,279,439,5,134,1534,422,14458,83,292,839,43.3,6,7144,807,9.1,102.99,159610,75754,83856,1550,15.4,9.3,28.6,28.1,18.7,10430,9362,72242,157267,22507,62518,125662,74.2,28575,30966,13858,4034,7418,7634,71.7,113
"49",3404,"Osnabrück",2013,"3404y2013",1032,759,49,556,816,5,219,1624,420,17752,143,397,652,42.2,4.6,6606,633,8.6,119.8,156315,74822,81493,1305,14.7,10.3,29,26.5,19.5,11396,10494,51263,153699,53280,49156,120206,71.5,32973,26245,10961,3854,5047,5640,44,68
