"","district","DistrictName.y","year","district_year","bodilyHarm","robberyFromOrOutOfCars","robberyOfCars","dangerousBodilyHarm","violentCrime","murderAndManslaughter","robberyIncludingExtortionAndAttackOfCarDrivers","vandalism","vandalismGraffiti","streetCrime","burglaryDaylight","burglary","HusbandAndWifeTotal","PropwHochschulreife","PropwoHauptschulabschluss","UnemployedTotal","UnemployedTotal15to25","UnemployedPercentage","TotalArea","TotalPopulation","MalePopulation","FemalePopulation","DensityPerSQRTkm","Pop0to17","Pop18to24","Pop25to44","Pop45to64","PopOver65","InfluxTotal","OutflowTotal","BelieversProtestant","BelieversTotal","BelieversRomanCatholic","BelieversOthersNoNoResponse","EntitledVoteTotal","TurnoutPercentage","VoteConservativesTotal","VoteSocialDemocratsTotal","VoteGreensTotal","VoteLiberalsTotal","VoteLeftTotal","VoteOthersTotal","FoundationsDensity100k","FoundationsTotal"
"156",7231,"Bernkastel-Wittlich",2013,"7231y2013",508,298,40,149,186,3,19,551,38,5561,57,98,557,25.2,5.7,2341,297,4.3,1167.59,110643,54811,55832,95,16.1,7.6,22.7,32.3,21.2,7554,7311,17275,112319,77069,17976,87870,72.4,31077,14470,3872,3984,3093,6044,11.6,13
"157",7232,"Eifelkreis Bitburg-Prüm",2013,"7232y2013",284,229,27,89,117,0,17,374,17,4194,82,136,432,34.8,3.9,1636,240,3.6,1626.26,96158,47973,48185,59,17,8.3,23.1,31.9,19.7,7339,6824,6393,95775,77872,11509,73484,71.9,26721,11738,3395,3219,2132,4664,19.8,19
"158",7233,"Vulkaneifel",2013,"7233y2013",258,151,11,68,80,1,7,344,47,2895,27,56,288,31.1,5,1562,191,5.3,911.05,60765,30112,30653,67,16.3,7.6,21,32.2,22.9,4066,4114,6696,61947,45726,9525,48954,71.4,18560,7538,1751,2071,1603,2877,9.8,6
"159",7235,"Trier-Saarburg",2013,"7235y2013",406,242,24,130,157,1,18,637,28,5303,60,142,635,25.9,7.4,2795,348,3.9,1101.49,144337,70958,73379,131,17.1,7.4,23.8,32.5,19.2,10271,9445,11582,142228,111163,19483,112106,75.5,39347,21551,6006,3905,4496,7366,10.5,15
"160",7311,"Frankenthal (Pfalz)",2013,"7311y2013",357,138,17,110,158,0,42,450,71,4268,36,70,208,37.6,8.8,1673,176,7.8,43.76,47332,22864,24468,1082,16.2,7.8,24.4,29.1,22.4,3193,2793,14683,46415,14144,17588,34091,68.5,9937,6266,1549,1136,1399,2657,23.6,11
"161",7312,"Kaiserslautern",2013,"7312y2013",1150,1142,43,457,592,3,122,1340,169,12852,83,198,378,46,5,5409,543,11.8,139.73,97162,48493,48669,695,14.2,11.7,26.2,28,19.9,7340,6934,38989,96340,27760,29592,73692,65.3,17077,14191,4133,2465,3819,5638,37.1,36
"162",7313,"Landau in der Pfalz",2013,"7313y2013",329,219,17,116,154,0,29,594,55,4180,24,63,239,43.9,5.6,1164,120,5.5,82.96,43825,20609,23216,528,15,10.9,26,28.9,19.2,3304,3017,15329,43361,16618,11414,34637,71,8911,6409,3252,1580,1385,2684,36.8,16
"163",7314,"Ludwigshafen am Rhein",2013,"7314y2013",1770,1045,44,560,795,5,202,1685,129,18354,113,249,581,35.9,9,7591,747,10.2,77.55,161518,79764,81754,2083,17.2,8.5,26.8,28,19.5,10739,9407,41737,157584,44978,70869,104215,67,24074,21566,5111,3224,4442,10227,21.4,34
"164",7315,"Mainz",2013,"7315y2013",1786,693,56,597,754,7,131,1968,374,19540,187,369,803,49.5,1.8,6633,571,6.8,97.74,204268,98529,105739,2090,14.3,10.9,32.1,25,17.7,15750,14362,47327,200344,74138,78879,144870,75.5,38903,28444,16795,6937,6522,10450,63.7,128
"165",7316,"Neustadt an der Weinstraße",2013,"7316y2013",339,290,10,172,196,1,18,478,44,4004,37,85,312,53,7,1627,168,6.6,117.1,52400,25308,27092,447,15.5,7.2,22.3,31.9,23.1,3202,2903,20497,52164,17450,14217,41459,74.3,13471,7333,3039,1804,1448,3203,47.8,25
"166",7317,"Pirmasens",2013,"7317y2013",309,250,10,122,167,3,38,466,35,3624,24,79,149,40.4,6.7,2711,313,14.7,61.37,40101,19242,20859,653,14.5,7.6,21.1,31.8,25.1,2109,1851,19436,40887,12509,8942,32266,63.8,8153,5945,730,1003,1515,2672,32,13
"167",7318,"Speyer",2013,"7318y2013",412,214,15,112,149,0,31,494,21,4433,32,96,434,51.3,2.5,1688,187,7.1,42.6,49740,23906,25834,1168,16.5,7.3,23.9,31.2,21,2886,2750,14789,49540,17568,17183,36773,71.6,10393,6654,2688,1290,1735,3139,54.3,27
"168",7319,"Worms",2013,"7319y2013",573,408,33,239,371,0,114,741,83,7883,83,149,291,36.2,4.1,3655,474,9.4,108.73,80296,38946,41350,738,17,8.7,24.8,29.8,19.6,5080,4386,29565,79207,22062,27580,59536,67.8,15201,12137,3039,2028,2326,4778,23.9,19
"169",7320,"Zweibrücken",2013,"7320y2013",185,193,14,53,71,0,17,291,27,2328,20,42,193,43.1,5.1,1408,128,8.8,70.64,34084,16676,17408,483,15.4,7.9,24,30.5,22.3,1911,1759,16823,34200,9336,8041,26956,65.2,6388,5359,1075,842,1408,2121,32.2,11
"170",7331,"Alzey-Worms",2013,"7331y2013",404,387,12,131,164,2,24,629,51,6486,76,178,660,31,4.4,3167,397,5.2,588.14,125213,62185,63028,213,17.4,7.7,23.3,33.6,18.1,8878,8566,58329,125112,31022,35762,96910,74.4,27716,21692,5503,4346,3375,8236,5.6,7
"171",7332,"Bad Dürkheim",2013,"7332y2013",703,480,23,226,283,0,50,881,57,7836,73,215,771,30.6,7.4,2910,300,4.8,594.79,131041,64062,66979,220,15.7,7,21.2,33.7,22.4,9050,8201,55744,131085,38161,37180,104815,75.4,33468,21690,5792,4731,3506,8655,28.3,37
"172",7333,"Donnersbergkreis",2013,"7333y2013",303,297,17,117,147,0,28,435,15,4072,52,144,351,26.4,5.9,2364,291,6.5,645.49,75192,37059,38133,116,17.2,7.5,22.3,33.4,19.6,5126,5117,40775,76032,16508,18747,58996,71.2,15045,13469,2902,2008,2522,5193,15.8,12
"173",7334,"Germersheim",2013,"7334y2013",636,387,28,177,208,1,22,878,88,7543,88,193,523,27.3,4,3263,367,5.2,463.35,125434,62243,63191,271,17,8.4,24.7,31.8,18.2,8888,8144,34267,123913,55945,33701,94121,72.5,29524,17419,4668,3741,3104,8591,12.9,16
"174",7335,"Kaiserslautern",2013,"7335y2013",423,475,23,122,143,0,16,615,45,5109,51,162,517,26.7,6.3,3155,363,6.4,639.88,104117,50998,53119,163,16.8,7.8,22.3,32.8,20.2,7160,7141,43630,105283,37758,23895,81916,73,24478,17462,3436,2590,3851,6780,37.1,36
"175",7336,"Kusel",2013,"7336y2013",277,161,14,86,100,1,11,374,19,3245,27,87,353,19.4,3.7,1927,230,5.6,573.35,71098,35163,35935,124,15.3,7.6,21.4,33.9,21.8,4412,4607,43309,72781,16483,12991,58590,72.5,13695,15149,2411,1497,3774,5045,12.4,9
"176",7337,"Südliche Weinstraße",2013,"7337y2013",431,179,18,135,154,0,11,793,68,5129,65,171,637,34.1,4.9,2386,258,4.6,639.83,109026,53691,55335,170,16,7.5,21.9,33.4,21.2,7758,7311,37449,108244,48881,21914,87379,75.3,28088,16709,5252,4356,3049,7122,15.7,17
"177",7338,"Rhein-Pfalz-Kreis",2013,"7338y2013",652,326,34,156,215,1,39,868,163,7382,72,193,638,13.9,3.9,3036,315,4.1,304.94,149068,72974,76094,489,16.1,7,22.5,32.7,21.7,10303,8932,47855,146870,54231,44782,116419,78.2,39154,23474,6778,5104,3879,11207,13.6,20
"178",7339,"Mainz-Bingen",2013,"7339y2013",883,656,26,211,266,4,37,1326,133,10796,143,308,1047,38.7,4.2,4786,553,4.8,605.73,203338,99855,103483,336,17.3,7.2,23.7,32.8,19,14987,13545,63918,200672,77693,59061,156932,78.5,50192,33011,12269,8034,5827,12150,18.4,37
"179",7340,"Südwestpfalz",2013,"7340y2013",190,155,16,66,83,1,6,383,30,2830,26,59,478,15.2,2.3,2560,306,5.4,953.65,96599,47641,48958,101,14.6,7.4,20.9,34.1,23,5189,5265,35383,98426,49085,13958,80288,76.3,27417,15775,2703,3254,3390,7082,6.1,6
"180",8111,"Stuttgart",2013,"8111y2013",4758,1500,92,1567,2272,19,576,6640,1416,58325,489,1025,2501,40.2,4.5,18006,1274,6.5,207.35,604297,298413,305884,2914,15.2,8.9,32.5,25,18.4,49626,44084,167456,585890,144975,273459,374255,76.7,109117,62235,44875,21468,18334,28512,62.6,370
"181",8115,"Böblingen",2013,"8115y2013",1319,897,55,319,423,10,65,1870,179,16187,122,311,1513,29.8,3.9,7522,587,4.2,617.82,370392,182704,187688,600,17.9,7.6,25.7,29.1,19.7,28498,25523,139887,363950,85863,138199,257273,77.4,92379,39249,20443,14123,8527,22436,13.7,50
"182",8116,"Esslingen",2013,"8116y2013",1521,927,72,499,644,16,103,2971,385,22658,161,396,2120,30.7,3.9,9970,857,4,641.48,512279,252108,260171,799,17.3,7.9,25.5,29.1,20.2,38359,34540,201580,502892,115450,185863,362586,77.7,126797,58263,33088,18132,12102,30700,16.6,84
"183",8117,"Göppingen",2013,"8117y2013",780,342,33,214,316,6,75,1380,120,9733,57,135,1197,24.9,4.6,5667,597,4.8,642.36,248813,122731,126082,387,17,8,23.9,30,21.1,17016,15317,86804,247408,84814,75789,179130,74,60058,28435,13275,7646,5569,16120,17,42
"184",8118,"Ludwigsburg",2013,"8118y2013",1709,1041,87,412,577,10,123,2947,281,21824,126,412,2226,29.2,4.7,10991,1058,4.3,686.82,521633,257080,264553,759,17.6,7.7,26.2,29.1,19.5,41581,37175,203717,509871,114439,191715,361623,77.7,123692,59442,31878,18463,12519,32265,14.3,73
"185",8119,"Rems-Murr-Kreis",2013,"8119y2013",1577,748,37,420,541,12,94,2570,315,18319,149,376,1718,25.7,5.2,8779,666,4.4,858.14,411025,201855,209170,479,17.4,7.7,24.1,30.2,20.5,28585,25755,174570,406874,89321,142983,294420,76.5,101413,44874,22592,16819,9993,27332,17.9,73
"186",8121,"Heilbronn",2013,"8121y2013",619,405,37,221,297,4,63,1269,300,9152,34,97,536,27.8,3.6,4248,383,7.4,99.88,118122,58440,59682,1183,17.2,8.4,27,26.9,20.4,9551,8862,41590,116059,26813,47656,78215,68.6,22528,12353,5002,3669,3055,6357,22.3,26
"187",8125,"Heilbronn",2013,"8125y2013",674,740,68,206,273,4,39,1675,186,12265,64,171,1533,22.1,4.1,7005,686,4.3,1099.93,326035,161934,164101,296,18,8,25,30.5,18.6,24924,23263,143240,322811,83265,96308,238537,75.1,82678,37325,15175,11734,7429,22555,22.3,26
"188",8126,"Hohenlohekreis",2013,"8126y2013",271,234,17,100,121,1,11,524,58,4192,24,80,517,21.3,4.3,1894,181,3.4,776.76,107866,53969,53897,139,17.9,8.6,24.6,30.5,18.4,7978,7346,50684,107279,31355,25241,82210,72.3,28963,11160,5136,3777,2575,7059,28,30
"189",8127,"Schwäbisch Hall",2013,"8127y2013",522,382,31,152,211,3,43,840,140,7204,33,105,961,22.9,4.5,3567,398,3.8,1484,187682,93657,94025,126,18.1,8.3,24.9,30.6,18.2,13180,12158,104605,186355,38222,43526,142174,69.6,43872,20070,10505,6578,4960,11578,12.9,24
"190",8128,"Main-Tauber-Kreis",2013,"8128y2013",278,180,6,56,87,2,18,664,45,4591,11,54,544,21.9,4,2661,275,4.1,1304.41,129857,64015,65842,100,16.7,7.9,22.8,31.4,21.3,6722,6280,42477,130624,66958,21190,103412,74,39181,14441,5825,3965,3085,8925,16.9,22
"191",8135,"Heidenheim",2013,"8135y2013",352,225,16,150,191,1,28,913,25,5383,32,83,527,25.4,4.2,3565,313,5.8,627.12,127947,63283,64664,204,17.2,8,23.4,29.6,21.7,7752,6976,51442,127816,41879,34496,95364,72.1,30553,16264,6167,3066,3761,8090,14.1,18
"192",8136,"Ostalbkreis",2013,"8136y2013",849,425,45,297,395,5,68,1395,73,11332,24,170,1303,26.6,3.9,6103,569,4.1,1511.57,306933,151882,155051,203,18,8.4,24.4,29.6,19.7,17358,16422,78274,306530,160193,68062,230348,74.1,87140,35007,13941,8129,6846,17413,16.3,50
"193",8211,"Baden-Baden",2013,"8211y2013",214,228,14,86,118,7,22,391,14,3972,24,68,347,45.6,4.9,1491,101,6.3,140.21,53012,24893,28119,378,14.3,6.5,22.1,30.7,26.4,4115,3281,10548,52314,24100,17667,39375,72,13257,5361,3072,2320,1226,2806,49.6,26
"194",8212,"Karlsruhe",2013,"8212y2013",1413,1690,57,685,940,9,226,2546,492,31209,372,752,1441,41.4,5.9,8556,661,6.2,173.46,299103,150451,148652,1724,14.4,10.7,30.2,26.2,18.5,35077,32106,86758,289173,92055,110360,205735,72.9,55791,33785,22263,8978,8933,18856,34.9,102
"195",8215,"Karlsruhe",2013,"8215y2013",921,931,76,310,440,8,91,2092,222,16851,185,436,1860,27,3.7,7555,834,3.6,1084.94,429186,211795,217391,396,16.9,7.6,24.2,31.3,20,29691,27023,126953,424122,183395,113773,323219,75.4,114252,49416,21706,14072,9894,31091,34.9,102
"196",8216,"Rastatt",2013,"8216y2013",669,583,34,243,324,6,60,1396,192,10011,74,216,954,23.1,5.8,4559,431,4,738.75,223311,109963,113348,302,16.6,7.6,23.4,31.9,20.5,14636,13516,41452,222324,124265,56607,168180,71.2,58495,24682,10151,6116,4829,13642,12.2,27
"197",8221,"Heidelberg",2013,"8221y2013",711,410,30,276,366,3,78,1414,288,14057,110,350,898,55.2,1.6,3481,262,5.8,108.83,152113,72422,79691,1398,13.7,13.3,33,23.7,16.2,17011,15455,46542,146751,39461,60748,97398,76.7,24637,16943,14020,5349,5134,8024,45.8,68
"198",8222,"Mannheim",2013,"8222y2013",1474,2116,98,809,1159,20,279,2664,229,31975,264,587,1221,33.3,5.8,9260,437,6.7,144.96,296690,146345,150345,2047,15.2,9.8,29.1,26.9,19,24138,21914,76814,290117,86468,126835,198525,69.4,47598,37367,15047,7427,10227,18078,26.4,77
"199",8225,"Neckar-Odenwald-Kreis",2013,"8225y2013",356,238,25,103,157,2,41,621,79,4442,24,69,643,25.4,4.8,3120,335,4.5,1126.25,141584,70441,71143,126,16.9,8.1,22.8,31.9,20.3,8646,8393,44444,142810,72123,26243,110012,71.9,40335,15828,5159,3991,3294,9217,11.9,17
"200",8226,"Rhein-Neckar-Kreis",2013,"8226y2013",1405,1518,79,453,584,11,95,2909,338,23369,196,670,2513,29.7,4.6,12535,1183,5,1061.71,531013,258970,272043,500,16.9,7.6,24.2,30.8,20.5,40067,36101,185957,524040,175717,162365,398436,76,127779,69289,29658,19335,14162,38532,7.6,40
"201",8231,"Pforzheim",2013,"8231y2013",775,347,32,205,298,3,74,864,27,9073,133,316,485,31.1,5,4864,457,8.9,98,117754,57147,60607,1202,17,9.1,25.6,27.4,20.8,9519,8049,39003,114411,29812,45596,77695,65,22131,10114,4191,3322,2787,7182,28.6,33
"202",8235,"Calw",2013,"8235y2013",397,231,11,76,115,11,15,840,50,5032,25,81,728,23.3,4.1,3489,365,4.7,797.51,151461,75016,76445,190,17.8,8.1,22.9,31.1,20,11283,10247,75826,151048,28894,46329,110794,74.5,41386,14372,6433,5033,3407,10928,13.2,20
"203",8236,"Enzkreis",2013,"8236y2013",366,257,22,86,124,2,32,997,87,5981,150,342,862,20.3,4.3,2876,320,3.1,573.69,192811,95032,97779,336,17.5,7.9,23,31.3,20.4,12994,11950,91873,191354,41489,57991,142281,76.6,48866,21674,9890,7849,4461,14929,8.4,16
"204",8237,"Freudenstadt",2013,"8237y2013",329,184,13,136,161,4,14,531,41,4836,26,72,529,19.4,5.9,2664,280,4.5,870.67,114793,56630,58163,132,17.8,8.4,23.3,30.8,19.7,7257,7212,50563,115973,35650,29760,86885,72,31877,10913,4513,4161,2541,7706,13,15
"205",8311,"Freiburg im Breisgau",2013,"8311y2013",2106,916,60,671,870,6,161,2594,729,26462,173,496,1237,44.3,5.2,6659,300,6.7,153.06,220286,103982,116304,1439,15.5,12.4,31.3,24.7,16,19989,18294,50823,209628,79781,79025,154522,76.1,36179,26740,25785,5360,10702,11723,37.3,80
"206",8315,"Breisgau-Hochschwarzwald",2013,"8315y2013",987,584,56,245,311,5,48,1451,133,12915,142,421,1151,29.1,3.7,4548,356,3.8,1378.34,250137,122249,127888,181,17.8,7.9,22.8,31,20.6,22776,20506,64869,247281,118381,64029,189733,76.6,65741,28943,20004,8173,6767,13968,17,42
"207",8316,"Emmendingen",2013,"8316y2013",566,314,21,171,230,1,38,814,64,6973,64,188,701,17.9,5.8,2854,257,3.6,679.88,158177,77608,80569,233,17.7,7.7,23.4,31.5,19.6,10651,9707,48574,156453,71952,35927,121495,74.5,39278,19588,11779,4443,4255,9863,12.8,20
"208",8317,"Ortenaukreis",2013,"8317y2013",1400,1421,112,369,575,14,151,2533,245,25112,152,427,1937,26.9,4.1,8756,747,4.2,1860.78,412678,203550,209128,222,17.7,8,23.7,30.8,19.8,25237,23521,108418,410202,216921,84863,314830,69.9,104576,42267,22912,12082,9903,24550,13.9,57
"209",8325,"Rottweil",2013,"8325y2013",298,214,23,106,130,3,21,628,44,4292,19,56,551,25.5,3.9,2498,259,3.7,769.43,135319,66921,68398,176,18,8,23.1,30.3,20.6,7816,7851,39874,136479,67219,29385,103229,72.3,37728,12867,5262,4437,2769,10353,14,19
"210",8326,"Schwarzwald-Baar-Kreis",2013,"8326y2013",456,331,24,198,269,2,53,1084,66,7299,34,117,863,22.1,6.2,4380,467,4.4,1025.26,205090,100855,104235,200,16.8,8.2,23.4,29.9,21.7,13439,12535,53433,203967,94513,56021,150608,71.4,52303,20138,9526,6297,4480,13196,17.6,36
"211",8327,"Tuttlingen",2013,"8327y2013",454,172,30,135,176,3,31,671,30,5255,24,109,615,20.5,4.6,2344,205,3.5,734.35,133198,66204,66994,181,18.7,8.1,24.7,29.2,19.3,8658,7809,34456,132214,63554,34203,96012,71.7,35270,11890,5123,4588,2832,8049,9.8,13
"212",8335,"Konstanz",2013,"8335y2013",1111,657,45,359,489,13,83,1923,135,16936,84,306,1450,26.8,3.7,6253,559,4.8,817.97,273407,132172,141235,334,16.6,9.8,24.2,29,20.5,25404,22012,54377,266964,127653,84935,202393,72.9,63563,29504,18446,10735,7295,16273,18.3,49
"213",8336,"Lörrach",2013,"8336y2013",1069,619,42,275,378,3,76,2171,85,16834,91,269,1000,25.1,3.1,4596,430,4,806.77,221943,108111,113832,275,17.8,7.8,24,30.6,19.6,16400,14679,77233,219002,69126,72644,162569,70.3,48679,24930,13853,6324,5513,13501,17.8,39
"214",8337,"Waldshut",2013,"8337y2013",525,256,26,136,191,3,37,958,59,7158,39,114,736,22.2,4.6,2825,288,3.4,1131.15,164265,80674,83591,145,18.3,7.9,23.1,30.5,20.3,12263,11254,30272,163135,91193,41671,119277,70.6,41906,15636,7982,4668,3461,9279,17.8,29
"215",8415,"Reutlingen",2013,"8415y2013",1009,577,24,360,447,13,52,1872,125,14814,71,225,1294,27.1,4.9,6009,561,4.5,1092.72,276019,135326,140693,253,17.5,8.3,24.4,29.7,20,18865,17387,126954,273352,61524,84875,199091,75.3,68394,28558,16195,10441,7089,17345,22.7,62
"216",8416,"Tübingen",2013,"8416y2013",721,497,20,198,249,5,33,1519,295,10496,65,182,1000,38,5.4,3874,282,3.8,519.19,216535,105212,111323,417,17.1,11.6,27.1,28.1,16.1,18478,17262,83060,211951,62069,66823,156792,79,49235,25676,19986,6728,8483,12683,35.2,75
"217",8417,"Zollernalbkreis",2013,"8417y2013",527,277,23,213,253,2,26,1021,115,7611,30,86,770,19.4,4.5,4341,450,4.8,917.71,184615,90722,93893,201,16.7,8.1,22.9,30.9,21.3,10952,10525,63313,185560,79914,42332,139507,71.4,49690,18019,7682,5811,4511,12525,16.7,31
"218",8421,"Ulm",2013,"8421y2013",663,290,10,256,368,8,88,1005,252,9726,56,150,660,41.8,4.7,3214,276,5.6,118.69,119218,58341,60877,1004,16,10.2,29.4,25.9,18.6,11035,9924,30260,116761,41572,44929,81980,73.9,24549,14107,7900,3352,3348,6754,56.2,66
"219",8425,"Alb-Donau-Kreis",2013,"8425y2013",337,248,15,110,154,4,25,678,52,5828,65,191,786,18.4,4.6,3322,376,3.5,1358.67,187892,93867,94025,138,18.9,8.4,24.4,29.9,18.5,12005,11256,61537,186192,81604,43051,138722,76.9,55821,19325,9123,5310,3739,12140,18.2,34
"220",8426,"Biberach",2013,"8426y2013",679,296,23,136,175,3,26,810,55,7349,36,136,915,21.1,4.4,2993,349,3.1,1409.75,188696,94063,94633,134,19,8.4,24.8,29.9,17.9,12797,11807,31747,187444,121340,34357,142958,74.4,59140,15723,9322,5104,3478,12101,24.5,46
"221",8435,"Bodenseekreis",2013,"8435y2013",646,360,21,204,251,2,30,999,73,8622,42,222,1148,25.7,6,3193,256,3.2,664.8,207450,101660,105790,312,16.9,7.9,23.7,29.9,21.6,19530,17739,39512,204083,102903,61668,155758,75.7,56218,21528,13799,7527,5181,12325,33.7,69
"222",8436,"Ravensburg",2013,"8436y2013",1201,537,46,385,477,7,68,1534,101,13607,55,154,1371,22.2,5.3,4171,402,3.2,1631.82,273540,134892,138648,168,18.4,8.8,24.7,29.2,18.9,20005,18716,43286,269595,166760,59549,205820,73.5,75678,25357,18136,7794,6367,16394,27.4,74
"223",8437,"Sigmaringen",2013,"8437y2013",408,239,15,144,176,4,16,612,34,5296,23,72,564,27.9,5.7,2692,298,4.3,1204.34,127101,62980,64121,106,18.2,8.7,23.1,30.6,19.4,8537,8497,21050,127601,81083,25467,96517,72.5,37883,10766,6474,3621,2633,7567,26.7,34
"224",9161,"Ingolstadt",2013,"9161y2013",1071,251,45,315,378,9,44,1038,108,9946,64,132,617,32.8,4.4,2539,259,4,133.37,129136,64731,64405,968,16.5,8.2,29.8,26.8,18.8,10100,9026,22522,124927,61928,40477,90203,62,27991,10751,4246,3025,2654,6816,11.9,15
"225",9162,"München",2013,"9162y2013",8816,1968,217,3339,4070,37,541,10644,1790,102667,560,1185,4688,32.8,6,39775,2795,5.9,310.74,1407836,683126,724710,4531,14.8,8.1,33.9,25.3,17.9,121340,107260,185547,1348335,494090,668698,917148,71.2,245767,155522,91401,50130,29872,77524,65.6,896
"226",9163,"Rosenheim",2013,"9163y2013",721,103,14,208,252,6,24,501,41,5744,21,48,225,32.7,6.2,1632,143,5.7,37.22,60464,29546,30918,1625,16.2,8.3,28.2,27.2,20,4537,4002,8269,59329,29302,21758,41491,64.8,12910,4758,2495,1363,1051,4131,38.6,23
"227",9171,"Altötting",2013,"9171y2013",404,146,8,107,133,4,20,746,69,4838,8,33,557,23.2,3.2,2138,231,4.1,569.35,106965,52378,54587,188,16.9,7.8,23.5,30.7,21.1,7361,6688,12104,106023,73836,20082,82824,66.7,31675,8988,3142,2131,1670,7137,14.1,15
"228",9172,"Berchtesgadener Land",2013,"9172y2013",339,86,13,66,101,5,20,554,25,6775,9,34,516,22.1,4.6,1999,187,4.7,839.92,102346,49891,52455,122,15.6,8.3,24.3,28.6,23.2,7735,6893,12240,100827,65397,23192,74581,67,28797,7241,4087,2153,1430,5789,10.9,11
"229",9173,"Bad Tölz-Wolfratshausen",2013,"9173y2013",390,108,25,90,113,3,18,600,38,4131,11,38,699,30,2.2,1942,169,3.4,1110.69,122118,59850,62268,110,17.5,7.5,23.9,30.2,20.9,9134,7583,17940,119178,67113,34125,91686,71.7,34821,9378,5387,3600,1849,10176,21.7,26
"230",9174,"Dachau",2013,"9174y2013",435,145,31,104,140,1,21,702,96,5039,36,87,591,25.4,5,1983,220,2.8,579.18,144407,71636,72771,249,18,8,26.5,29.7,17.7,11767,9466,17248,138697,75643,45806,101801,74.3,40428,12650,5521,3355,2209,11009,5.7,8
"231",9175,"Ebersberg",2013,"9175y2013",321,94,14,109,138,2,18,628,127,4213,36,81,533,35.6,5.7,1734,149,2.8,549.37,133007,65811,67196,242,19.2,7.5,25.3,29.4,18.7,10642,8893,18162,127568,68025,41380,96389,77,36838,13378,7039,4293,2080,10078,18.6,24
"232",9176,"Eichstätt",2013,"9176y2013",265,120,52,93,110,0,7,390,17,3055,28,90,594,21.7,1.7,945,119,1.5,1214.06,125858,63300,62558,104,19,8.7,25.9,29.5,16.9,8197,7603,13009,123421,90516,19895,95946,74.6,40940,12222,4021,2586,2074,9109,16.1,20
"233",9177,"Erding",2013,"9177y2013",409,131,24,115,142,1,15,579,61,5483,11,39,580,23.6,2.8,1584,158,2.4,870.72,130238,65192,65046,150,19,8.2,26.5,30.4,15.8,9799,8040,12011,125706,79935,33760,95996,72.3,36012,10292,5548,3029,2098,12012,4.7,6
"234",9178,"Freising",2013,"9178y2013",459,218,28,142,175,0,18,779,113,10558,43,90,692,24.3,3.7,2460,220,2.9,799.82,169010,85466,83544,211,18.2,9.2,28.5,28.7,15.4,16198,13973,18523,162818,89810,54485,119336,73,41432,13972,9932,4085,2961,14098,17,28
"235",9179,"Fürstenfeldbruck",2013,"9179y2013",608,207,17,136,176,3,29,1112,145,7481,35,112,862,39.3,2.7,3456,297,3.5,434.79,208272,101205,107067,479,17.6,7.3,24.8,29,21.3,16052,13129,31808,201597,96745,73044,153984,75.5,55729,22666,11390,6244,3642,15933,14.3,29
"236",9180,"Garmisch-Partenkirchen",2013,"9180y2013",250,71,10,64,76,4,5,464,49,3909,15,42,728,36.8,2.2,1728,153,4.5,1012.23,85443,41154,44289,84,15.5,7.6,22.3,29.6,25,7312,6344,11993,84046,51037,21016,65339,71.1,26025,5653,3278,2815,1191,7063,39.2,33
"237",9181,"Landsberg am Lech",2013,"9181y2013",335,135,12,78,103,3,11,524,59,3849,13,61,664,26.4,5.4,1751,170,3.3,804.38,114926,56988,57938,143,18.8,7.8,23.6,30.9,18.8,7883,7158,16663,113085,65947,30474,87309,74.4,33467,10293,6751,3299,2076,8652,23.8,27
"238",9182,"Miesbach",2013,"9182y2013",256,73,15,86,105,4,6,427,98,3929,11,32,1010,19.9,3,1466,113,3.4,866.23,96049,46565,49484,111,16.7,7.6,23.6,29.8,22.3,8292,6791,11843,93630,55539,26248,72254,73.4,28681,7540,3977,3329,1291,7830,34.1,32
"239",9183,"Mühldorf a.Inn",2013,"9183y2013",384,238,15,86,121,4,17,463,22,4295,9,36,487,20.7,5,2301,247,4.4,805.31,109227,54591,54636,136,17.5,8.3,24.3,30.4,19.6,8108,6782,10194,106414,74711,21510,84336,67.1,33323,7809,3252,2234,1571,7929,13.1,14
"240",9184,"München",2013,"9184y2013",740,356,58,283,348,2,46,1786,285,11947,104,261,1649,48.3,3.4,5188,346,3.5,664.25,329981,162383,167598,497,18.2,7.2,25.9,28.1,20.6,30552,26491,52433,317248,135441,129375,233398,77.4,84406,35540,17654,14940,5088,21864,65.6,896
"241",9185,"Neuburg-Schrobenhausen",2013,"9185y2013",402,68,26,115,140,0,12,413,22,3797,12,40,497,20.1,3.6,1173,135,2.6,739.8,92700,46418,46282,125,18.1,8.3,25.4,29.9,18.3,5724,4827,12360,90593,61933,16300,70675,69,28877,7090,2579,1848,1461,6480,18.7,17
"242",9186,"Pfaffenhofen a.d.Ilm",2013,"9186y2013",526,212,33,144,167,6,13,539,44,5022,28,84,567,23.6,6.3,1402,161,2.4,761.14,119987,60632,59355,158,17.8,8.2,26.1,30.6,17.4,8960,7405,12684,116116,76499,26933,90579,70.2,34789,10432,4039,2967,1903,9071,6.8,8
"243",9187,"Rosenheim",2013,"9187y2013",830,277,38,191,224,9,17,1002,90,12042,28,92,1408,21.2,4.3,3653,403,3.2,1439.54,249810,123049,126761,174,17.7,8.1,23.8,30.2,20.2,20243,17181,29048,244257,156782,58426,189578,71.8,74659,19208,11136,6677,3637,19786,38.6,23
