"","district","district_year","districtName","bodily harm","dangerous bodily harm","violent crime","murder and manslaughter","robbery","HusbandAndWifeTotal","GraduatesTotal","GraduatesWithHouthDegreeTotal","GraduatesWithHauptschulDegreeTotal","GraduatesWithRealschulDegreeTotal","GraduatesWithFachhochschulDegreeTotal","GraduatesWithHochschulreifeDegreeTotal","UnemployedTotal","UnemployedTotal15to25","UnemployedPercentage"
"160",7235,"7235y2013",NA,406,130,157,1,18,635,1251,92,228,598,9,324,2795,348,3.9
"161",7311,"7311y2013",NA,357,110,158,0,42,208,679,60,116,232,16,255,1673,176,7.8
"162",7312,"7312y2013",NA,1150,457,592,3,122,378,1336,67,192,400,62,615,5409,543,11.8
"163",7313,"7313y2013",NA,329,116,154,0,29,239,880,49,118,315,12,386,1164,120,5.5
"164",7314,"7314y2013",NA,1770,560,795,5,202,581,1774,160,418,513,47,636,7591,747,10.2
"165",7315,"7315y2013",NA,1786,597,754,7,131,803,2345,42,334,717,91,1161,6633,571,6.8
"166",7316,"7316y2013",NA,339,172,196,1,18,312,500,35,77,117,6,265,1627,168,6.6
"167",7317,"7317y2013",NA,309,122,167,3,38,149,492,33,105,148,7,199,2711,313,14.7
"168",7318,"7318y2013",NA,412,112,149,0,31,434,878,22,109,278,19,450,1688,187,7.1
"169",7319,"7319y2013",NA,573,239,371,0,114,291,878,36,163,348,13,318,3655,474,9.4
"170",7320,"7320y2013",NA,185,53,71,0,17,193,508,26,73,176,14,219,1408,128,8.8
"171",7331,"7331y2013",NA,404,131,164,2,24,660,1554,68,279,671,55,481,3167,397,5.2
"172",7332,"7332y2013",NA,703,226,283,0,50,771,1049,78,183,459,8,321,2910,300,4.8
"173",7333,"7333y2013",NA,303,117,147,0,28,351,1035,61,188,493,20,273,2364,291,6.5
"174",7334,"7334y2013",NA,636,177,208,1,22,523,1132,45,200,574,4,309,3263,367,5.2
"175",7335,"7335y2013",NA,423,122,143,0,16,517,1052,66,237,448,20,281,3155,363,6.4
"176",7336,"7336y2013",NA,277,86,100,1,11,353,737,27,161,397,9,143,1927,230,5.6
"177",7337,"7337y2013",NA,431,135,154,0,11,637,1069,52,102,538,13,364,2386,258,4.6
"178",7338,"7338y2013",NA,652,156,215,1,39,638,1068,42,245,626,7,148,3036,315,4.1
"179",7339,"7339y2013",NA,883,211,266,4,37,1047,1921,81,313,741,43,743,4786,553,4.8
"180",7340,"7340y2013",NA,190,66,83,1,6,478,752,17,213,399,9,114,2560,306,5.4
"181",8111,"8111y2013",NA,4758,1567,2272,19,576,2501,5467,244,855,2127,45,2196,18006,1274,6.5
"182",8115,"8115y2013",NA,1319,319,423,10,65,1513,4244,167,819,1995,0,1263,7522,587,4.2
"183",8116,"8116y2013",NA,1521,499,644,16,103,2120,5578,218,1140,2471,36,1713,9970,857,4
"184",8117,"8117y2013",NA,780,214,316,6,75,1197,2888,134,552,1471,11,720,5667,597,4.8
"185",8118,"8118y2013",NA,1709,412,577,10,123,2226,5555,263,881,2784,7,1620,10991,1058,4.3
"186",8119,"8119y2013",NA,1577,420,541,12,94,1718,4599,238,793,2359,27,1182,8779,666,4.4
"187",8121,"8121y2013",NA,619,221,297,4,63,536,1728,63,403,782,0,480,4248,383,7.4
"188",8125,"8125y2013",NA,674,206,273,4,39,1533,3603,146,822,1838,0,797,7005,686,4.3
"189",8126,"8126y2013",NA,271,100,121,1,11,517,1333,57,344,648,0,284,1894,181,3.4
"190",8127,"8127y2013",NA,522,152,211,3,43,961,2390,107,554,1175,7,547,3567,398,3.8
"191",8128,"8128y2013",NA,278,56,87,2,18,544,1710,69,407,859,0,375,2661,275,4.1
"192",8135,"8135y2013",NA,352,150,191,1,28,527,1583,67,386,728,0,402,3565,313,5.8
"193",8136,"8136y2013",NA,849,297,395,5,68,1303,4090,160,868,1958,18,1086,6103,569,4.1
"194",8211,"8211y2013",NA,214,86,118,7,22,347,627,31,134,176,0,286,1491,101,6.3
"195",8212,"8212y2013",NA,1413,685,940,9,226,1441,2595,154,293,1057,17,1074,8556,661,6.2
"196",8215,"8215y2013",NA,921,310,440,8,91,1860,4749,176,803,2488,0,1282,7555,834,3.6
"197",8216,"8216y2013",NA,669,243,324,6,60,954,2314,134,528,1117,1,534,4559,431,4
"198",8221,"8221y2013",NA,711,276,366,3,78,898,1526,24,178,478,3,843,3481,262,5.8
"199",8222,"8222y2013",NA,1474,809,1159,20,279,1221,2918,168,381,1370,26,973,9260,437,6.7
"200",8225,"8225y2013",NA,356,103,157,2,41,643,1758,85,501,725,0,447,3120,335,4.5
"201",8226,"8226y2013",NA,1405,453,584,11,95,2513,4990,229,861,2420,0,1480,12535,1183,5
"202",8231,"8231y2013",NA,775,205,298,3,74,485,1594,79,357,654,9,495,4864,457,8.9
"203",8235,"8235y2013",NA,397,76,115,11,15,728,1873,77,398,961,0,437,3489,365,4.7
"204",8236,"8236y2013",NA,366,86,124,2,32,862,1968,85,375,1109,0,399,2876,320,3.1
"205",8237,"8237y2013",NA,329,136,161,4,14,529,1333,78,317,680,0,258,2664,280,4.5
"206",8311,"8311y2013",NA,2106,671,870,6,161,1237,2432,127,355,858,15,1077,6659,300,6.7
"207",8315,"8315y2013",NA,987,245,311,5,48,1151,2667,100,489,1301,0,777,4548,356,3.8
