"","district","BelieversProtestant","BelieversTotal","BelieversRomanCatholic","BelieversOthersNoNoResponse"
"366",9776,13395,78420,42937,22090
"367",9777,14532,133586,92503,26550
"368",9778,17946,135161,93875,23340
"369",9779,33635,127920,75467,18818
"370",9780,19839,148650,94761,34049
"371",10041,76989,327065,169460,80616
"372",10042,7535,103636,82181,13920
"373",10043,33561,135531,79445,22525
"374",10044,17068,197877,148999,31810
"375",10045,38205,145394,78099,29090
"376",10046,17684,90120,61512,10924
"377",12051,6657,71569,1867,63045
"378",12052,11181,99984,3502,85301
"379",12053,5120,59140,2418,51602
"380",12054,22626,156021,7077,126318
"381",12060,21838,172164,4330,145997
"382",12061,30213,160162,5043,124906
"383",12062,29515,110189,3544,77129
"384",12063,27310,152457,6709,118438
"385",12064,23275,187374,4669,159430
"386",12065,33716,200805,8062,159029
"387",12066,18725,117943,3340,95878
"388",12067,25076,178177,4449,148651
"389",12068,24519,100242,2562,73161
"390",12069,43224,202816,8415,151177
"391",12070,18502,80276,1703,60071
"392",12071,24076,122524,3449,94998
"393",12072,29171,159255,5570,124514
"394",12073,22888,124682,3708,98086
"395",13001,9154,55447,1702,44591
"396",13002,6394,64111,2003,55714
"397",13003,20584,200265,6104,173578
"398",13004,11417,91293,3137,76739
"399",13005,6529,56729,1642,48558
"400",13006,4037,42468,1239,37193
"401",13051,19724,115654,3719,92211
"402",13052,19306,77572,2945,55322
"403",13053,18327,96905,4336,74242
"404",13054,27217,120926,5060,88648
"405",13055,13673,76008,2576,59759
"406",13056,13023,63719,2219,48477
"407",13057,16665,103288,2628,83996
"408",13058,23698,114167,3692,86775
"409",13059,24418,102879,2487,75973
"410",13060,20653,93446,3252,69540
"411",13061,10479,65495,1318,53698
"412",13062,11897,69610,2815,54898
"413",13071,NA,NA,NA,NA
"414",13072,NA,NA,NA,NA
"415",13073,NA,NA,NA,NA
"416",13074,NA,NA,NA,NA
"417",13075,NA,NA,NA,NA
"418",13076,NA,NA,NA,NA
"419",14161,NA,NA,NA,NA
"420",14166,NA,NA,NA,NA
"421",14167,NA,NA,NA,NA
"422",14171,NA,NA,NA,NA
"423",14173,NA,NA,NA,NA
"424",14177,NA,NA,NA,NA
"425",14178,NA,NA,NA,NA
"426",14181,NA,NA,NA,NA
"427",14182,NA,NA,NA,NA
"428",14188,NA,NA,NA,NA
"429",14191,NA,NA,NA,NA
"430",14193,NA,NA,NA,NA
"431",14262,NA,NA,NA,NA
