"","district","district_year","districtName","bodily.harm","dangerous.bodily.harm","violent.crime","murder.and.manslaughter","robbery","HusbandAndWifeTotal","GraduatesTotal","GraduatesWithHouthDegreeTotal","GraduatesWithHauptschulDegreeTotal","GraduatesWithRealschulDegreeTotal","GraduatesWithFachhochschulDegreeTotal","GraduatesWithHochschulreifeDegreeTotal","UnemployedTotal","UnemployedTotal15to25","UnemployedPercentage","TotalArea","TotalPopulation","MalePopulation","FemalePopulation","DensityPerSQRTkm","CrimeRate","Pop_0_17","Pop_18_24","Pop_25_44","Pop_45_64","Pop_over_65"
"263",9371,"9371y2013","Amberg-Sulzbach",238,77,95,0,12,429,712,18,270,347,0,77,1885,221,3.7,1255.76,103074,51248,51826,82,11.6421211944816,16.7,8.3,23.1,32.1,19.8
"264",9372,"9372y2013","Cham",404,96,108,0,6,613,1469,29,397,761,0,282,2453,291,4,1520.16,125553,62483,63070,83,4.77885833074478,16.4,8.1,24.4,31.5,19.7
"265",9373,"9373y2013","Neumarkt i.d.OPf.",391,98,110,2,4,562,1609,40,447,759,0,363,1739,181,2.8,1344.12,127826,64011,63815,95,3.12925382942437,17.7,8.6,24.5,31.3,18
"266",9374,"9374y2013","Neustadt a.d.Waldnaab",329,96,114,2,7,404,853,32,293,381,0,147,2198,255,4.7,1427.67,95447,47339,48108,67,7.33391306169916,16.9,8.3,23.6,31.9,19.2
"267",9375,"9375y2013","Regensburg",438,92,118,4,13,759,1097,31,389,527,0,150,2709,294,2.9,1391.9,185980,92504,93476,134,6.98999892461555,17.6,7.9,24.9,31.8,17.8
"268",9376,"9376y2013","Schwandorf",510,145,172,1,18,703,1543,39,368,754,0,382,2783,342,4,1464.98,143060,71491,71569,98,12.5821333706137,16.4,8.2,24.6,31.2,19.5
"269",9377,"9377y2013","Tirschenreuth",182,37,54,2,9,329,715,27,184,400,0,104,1892,195,5.4,1084.23,73457,36343,37114,68,12.2520658344338,15.9,8.1,22.6,31.8,21.5
"270",9461,"9461y2013","Bamberg",536,146,182,5,24,449,1399,43,150,431,0,775,1937,173,5.8,54.62,71167,33421,37746,1303,33.7234954403024,14.1,10.8,27.9,26.7,20.5
"271",9462,"9462y2013","Bayreuth",459,168,216,9,25,218,1274,50,168,511,0,545,2332,182,7.1,66.9,71572,34364,37208,1070,34.9298608394344,13,13.7,25.6,26.4,21.3
"272",9463,"9463y2013","Coburg",387,94,132,12,21,278,862,46,77,427,0,312,1322,140,6.9,48.29,40994,19715,21279,849,51.2270088305606,14.4,8.6,24.4,29.6,23
"273",9464,"9464y2013","Hof",491,125,173,2,38,188,801,48,154,327,0,272,1572,125,7.9,58.03,44522,21080,23442,767,85.3510623961188,14.7,7.9,23.5,29.4,24.4
"274",9471,"9471y2013","Bamberg",449,154,173,3,8,670,911,28,344,539,0,0,2491,286,3.4,1167.84,144425,71904,72521,124,5.53920720096936,17.5,8.3,24.9,31.8,17.6
"275",9472,"9472y2013","Bayreuth",287,68,84,1,8,548,740,26,199,429,0,86,2178,218,4.2,1273.78,104637,51537,53100,82,7.64547913262039,16.5,7.6,23.2,31.9,20.8
"276",9473,"9473y2013","Coburg",294,82,108,8,11,343,509,29,233,147,0,100,2002,222,4.7,590.47,86719,42685,44034,147,12.6846481163298,15.7,7.5,22.6,32.3,22
"277",9474,"9474y2013","Forchheim",326,79,99,9,8,584,1213,38,231,596,0,348,2070,237,3.7,642.79,113424,55927,57497,176,7.05318098462407,17.2,8.1,23.7,32.2,18.9
"278",9475,"9475y2013","Hof",394,83,103,4,14,395,727,31,203,328,0,165,2268,236,5.1,892.52,97096,47063,50033,109,14.4187196176979,15.1,7.1,21,32.1,24.8
"279",9476,"9476y2013","Kronach",260,81,108,8,12,284,688,29,130,341,0,188,1697,166,5,651.53,68484,33604,34880,105,17.5223409847556,14.7,7,22.6,33,22.7
"280",9477,"9477y2013","Kulmbach",360,84,109,7,9,371,689,59,196,240,0,194,2010,186,5.6,658.34,72898,35570,37328,111,12.3460177233943,15.3,7.1,22.4,32.7,22.5
"281",9478,"9478y2013","Lichtenfels",355,93,130,12,22,304,765,43,135,424,0,163,1701,180,5.1,519.95,66644,32663,33981,128,33.0112238160975,15.7,7.9,23.1,31.9,21.4
"282",9479,"9479y2013","Wunsiedel i.Fichtelgebirge",372,77,93,1,11,326,921,51,181,445,0,244,2009,166,6,606.43,73783,35495,38288,122,14.9085832779909,14.2,7,20.6,32.4,25.9
"283",9561,"9561y2013","Ansbach",266,72,97,4,17,203,803,23,109,353,0,318,1075,138,5.5,99.91,39839,18895,20944,399,42.6717538090816,15.7,8.3,25,29.4,21.6
"284",9562,"9562y2013","Erlangen",626,186,228,5,30,436,1345,51,144,479,0,671,2487,209,4.7,76.95,105624,51877,53747,1373,28.402635764599,15.4,10.2,30.3,25.7,18.4
"285",9563,"9563y2013","Fürth",527,177,251,8,45,579,1260,99,264,533,0,364,4633,452,7.9,63.35,119808,58052,61756,1891,37.5600961538462,16,8,28.4,29.2,18.4
"286",9564,"9564y2013","Nürnberg",4218,1454,1914,25,359,2396,4792,360,1213,1791,0,1428,21302,2101,8.8,186.37,498876,240640,258236,2677,71.9617700590928,15,8.5,29,27,20.5
"287",9565,"9565y2013","Schwabach",140,33,40,2,3,171,664,31,96,290,0,247,969,108,5.2,40.82,39546,19126,20420,969,7.58610226065847,16.6,7.7,24.2,29.9,21.6
"288",9571,"9571y2013","Ansbach",537,146,186,8,21,879,1993,130,451,1041,0,371,3090,351,3.5,1971.84,178914,89141,89773,91,11.7374828129716,17.7,8.5,23.8,30.9,19.1
"289",9572,"9572y2013","Erlangen-Höchstadt",290,82,104,5,10,586,1367,33,311,509,0,514,1780,190,2.8,564.66,132012,65421,66591,234,7.57506893312729,17.6,7.6,24.2,31.6,19
"290",9573,"9573y2013","Fürth",215,71,87,0,13,497,894,19,182,340,0,353,2140,198,3.9,307.55,114513,55631,58882,372,11.3524228690192,16.4,7.1,23.3,31.7,21.4
"291",9574,"9574y2013","Nürnberger Land",534,160,197,2,26,843,1800,115,428,730,0,527,2771,315,3.5,799.57,165000,80818,84182,206,15.7575757575758,16.3,7.4,22.9,31.6,21.8
"292",9575,"9575y2013","Neustadt a.d.Aisch-Bad Windsheim",268,99,118,3,10,456,1208,61,196,664,0,287,1399,194,2.9,1267.55,97482,48296,49186,77,10.2583040971667,17.2,8.1,23.1,31.8,19.7
"293",9576,"9576y2013","Roth",304,91,116,1,17,629,1216,77,293,532,0,314,2115,233,3.5,895.39,123431,61021,62410,138,13.7728771540375,17.2,7.9,23.4,31.6,19.8
"294",9577,"9577y2013","Weißenburg-Gunzenhausen",351,84,106,1,12,470,1028,27,219,506,0,276,1692,191,3.8,970.91,92331,45817,46514,95,12.996718328622,16.9,8,23,31.3,20.9
"295",9661,"9661y2013","Aschaffenburg",592,153,199,2,36,345,1253,47,179,543,0,484,2410,235,7.3,62.47,67844,32509,35335,1086,53.0629090265904,15.6,7.7,26.9,29.9,19.9
"296",9662,"9662y2013","Schweinfurt",457,135,160,4,12,353,1322,66,199,560,5,492,1692,155,7.1,35.7,51851,24974,26877,1452,23.1432373531851,15.3,8.3,24.3,28.3,23.9
"297",9663,"9663y2013","Würzburg",931,293,354,2,47,516,2098,115,250,905,0,828,3274,238,5.4,87.63,124698,58690,66008,1423,37.6910616048373,12.2,13.2,29.9,24.9,20
"298",9671,"9671y2013","Aschaffenburg",408,84,111,6,15,678,1511,73,413,704,0,321,3183,375,3.8,699.15,172791,85792,86999,247,8.68100769137281,16.5,7.9,23.4,32.3,19.9
"299",9672,"9672y2013","Bad Kissingen",377,76,98,0,12,529,1105,19,297,489,0,300,2259,247,4.6,1136.96,102865,50217,52648,90,11.6657755310358,15.7,7.5,21.9,31.9,22.9
"300",9673,"9673y2013","Rhön-Grabfeld",297,78,85,1,5,334,1122,46,266,524,0,286,1414,179,3.7,1021.77,79965,39598,40367,78,6.25273557181267,17,8.1,22.5,32.1,20.3
"301",9674,"9674y2013","Haßberge",395,88,102,1,7,417,1071,34,254,542,0,241,1706,232,4,956.38,84090,42012,42078,88,8.32441431799263,16.9,8.2,23.4,32.5,19
"302",9675,"9675y2013","Kitzingen",270,74,93,3,15,456,1427,56,237,638,0,496,1579,181,3.7,684.19,88097,43821,44276,129,17.0266864932972,16.7,8.4,23.9,31.5,19.5
"303",9676,"9676y2013","Miltenberg",454,117,136,6,7,620,1393,46,410,637,0,300,2552,287,4.1,715.86,127909,63644,64265,179,5.47264070550157,17.2,8,23.7,31.3,19.7
"304",9677,"9677y2013","Main-Spessart",303,90,106,1,6,562,1471,36,287,769,0,379,2014,285,3.2,1321.42,126295,62782,63513,96,4.75078189952096,15.9,7.9,22.8,32.6,20.9
"305",9678,"9678y2013","Schweinfurt",324,60,75,1,7,410,553,32,276,245,0,0,1792,215,3.2,841.46,113007,56262,56745,134,6.19430654738202,16.5,8.1,22.8,32.2,20.4
"306",9679,"9679y2013","Würzburg",287,66,77,0,7,728,744,29,233,368,0,114,2520,264,3.2,968.4,158580,78529,80051,164,4.41417581031656,16.8,8,23.9,31.9,19.4
"307",9761,"9761y2013","Augsburg",2500,560,719,7,125,1201,3192,147,753,1248,0,1044,9429,868,7.3,146.84,276542,134549,141993,1883,45.2010906119143,15.1,9.5,29.2,26.2,20.2
"308",9762,"9762y2013","Kaufbeuren",319,81,101,3,8,268,764,39,151,351,0,223,1394,160,7,40.03,41759,20258,21501,1043,19.1575468761225,16.3,7.6,23.9,29.5,22.7
"309",9763,"9763y2013","Kempten (Allgäu)",592,149,181,7,19,311,1170,78,220,601,0,271,1668,161,5.5,63.28,65044,31905,33139,1028,29.2109956337249,15.2,9,25.9,27.5,22.3
"310",9764,"9764y2013","Memmingen",308,97,127,3,22,229,807,53,151,423,0,180,882,93,4.4,70.14,41772,20371,21401,596,52.6668581825146,16.5,8,25.1,28.8,21.6
"311",9771,"9771y2013","Aichach-Friedberg",292,93,112,3,10,648,1175,43,336,595,0,201,1840,208,2.9,780.33,128435,63741,64694,165,7.78603963094172,18.1,8,24.5,30.7,18.7
"312",9772,"9772y2013","Augsburg",824,185,218,2,19,1123,2344,134,679,1081,0,450,3732,429,3.2,1071.12,240911,119037,121874,225,7.88672995421546,17.6,8,23.8,30.8,19.7
"313",9773,"9773y2013","Dillingen a.d.Donau",332,75,90,1,8,430,1126,47,277,514,0,288,1368,145,2.9,792.22,93129,46180,46949,118,8.59023505030656,17.8,8.5,24.1,30.8,18.9
"314",9774,"9774y2013","Günzburg",422,129,153,0,17,556,1747,125,337,808,0,477,2075,241,3.5,762.44,120696,60320,60376,158,14.0849738185193,17.8,8.5,24.6,30.5,18.6
"315",9775,"9775y2013","Neu-Ulm",807,217,273,3,44,733,1647,106,423,766,0,352,3207,328,3.9,515.87,166643,82229,84414,323,26.4037493324052,17.3,8.1,25.6,29.4,19.5
"316",9776,"9776y2013","Lindau (Bodensee)",209,70,99,3,20,510,732,31,153,336,0,212,1233,144,3.4,323.44,78939,38653,40286,244,25.3360189513422,17.2,7.5,23.2,29.9,22.2
"317",9777,"9777y2013","Ostallgäu",435,109,128,1,9,766,1430,52,385,742,0,251,1970,246,3.1,1394.92,134771,66693,68078,97,6.67799452404449,18,8.1,23.5,30.1,20.3
"318",9778,"9778y2013","Unterallgäu",412,123,140,4,9,616,1420,39,328,717,0,336,1591,216,2.5,1230.06,137484,68733,68751,112,6.54621628698612,18,8.3,23.5,29.8,20.4
"319",9779,"9779y2013","Donau-Ries",465,96,114,2,11,637,1640,56,337,931,0,316,1543,160,2.4,1274.68,129422,65203,64219,102,8.49932778043918,17.8,8.3,24.8,30,19
"320",9780,"9780y2013","Oberallgäu",478,99,119,4,8,1036,1214,33,414,566,0,201,2525,285,3.6,1528.01,150478,73788,76690,98,5.31639176490916,16.8,7.8,23.1,30.5,21.8
"321",10041,"10041y2013","Regionalverband Saarbrücken",2274,879,1286,8,366,1412,3123,195,793,1031,55,1049,15895,1600,10.6,410.63,325978,158386,167592,794,112.277515660566,14.2,8.4,24.2,31.2,22
"322",10042,"10042y2013","Merzig-Wadern",364,114,163,3,33,483,927,50,286,341,15,235,2748,317,5.5,555.16,103135,50638,52497,186,31.9968972705677,15.6,7.2,22.9,33.6,20.7
"323",10043,"10043y2013","Neunkirchen",644,192,278,2,62,599,1350,73,415,504,25,333,5531,659,8.7,249.25,133222,64864,68358,534,46.5388599480566,13.8,7.4,22,33.5,23.2
"324",10044,"10044y2013","Saarlouis",939,301,399,1,80,954,2191,77,549,816,35,714,6773,800,7.2,459.03,195976,95367,100609,427,40.8213250602115,14.6,7.6,22.2,33.5,22.2
"325",10045,"10045y2013","Saarpfalz-Kreis",497,217,272,4,42,621,1410,63,324,549,10,464,4471,447,6.5,418.39,143851,69614,74237,344,29.1968773244538,14,7.7,21.7,33,23.5
"326",10046,"10046y2013","St. Wendel",272,82,100,1,12,433,1053,52,207,422,17,355,1964,161,4.5,476.23,88556,43540,45016,186,13.5507475495732,14.2,7.4,21.6,34.4,22.4
"327",12051,"12051y2013","Brandenburg an der Havel",415,94,147,1,42,277,529,39,92,199,0,199,4973,485,14.5,229.71,71032,34852,36180,309,59.1282802117356,12.5,5.8,24.1,31.2,26.5
"328",12052,"12052y2013","Cottbus",456,186,270,1,64,316,860,74,99,298,0,389,6330,581,13.2,165.15,99595,48907,50688,603,64.2602540288167,12.8,7.7,25.3,30.9,23.3
"329",12053,"12053y2013","Frankfurt (Oder)",286,108,169,2,54,200,487,33,49,203,0,202,4566,315,16,147.85,58018,27733,30285,392,93.0745630666345,12.9,7.1,23.7,32.8,23.6
"330",12054,"12054y2013","Potsdam",704,220,339,5,99,838,1558,65,190,446,0,857,6461,565,8.4,188.25,161468,77383,84085,858,61.3124581960512,16.1,7.1,30.6,26.7,19.4
"331",12060,"12060y2013","Barnim",659,225,299,6,60,879,1229,87,148,536,0,458,8957,849,10.6,1479.69,173754,85935,87819,117,34.5315791291136,14.7,4.8,23.4,35,22
"332",12061,"12061y2013","Dahme-Spreewald",540,171,254,4,68,741,1249,89,157,535,0,468,6235,450,8.1,2274.28,160793,79404,81389,71,42.2903982138526,14.6,5.1,23.3,33.9,23.1
"333",12062,"12062y2013","Elbe-Elster",370,127,170,4,29,342,741,64,114,325,0,238,7252,541,14,1899.57,106157,52428,53729,56,27.3180289571107,13,4.5,21.8,35.3,25.4
"334",12063,"12063y2013","Havelland",559,207,283,2,64,726,1260,92,199,440,0,529,7815,687,10.4,1727.3,153874,76018,77856,89,41.592471762611,16.2,5.3,22.5,34.7,21.2
"335",12064,"12064y2013","Märkisch-Oderland",603,202,288,5,68,1045,1207,105,173,560,0,369,9910,797,10.9,2158.65,187668,92972,94696,87,36.2342008227295,14.5,4.7,22.7,36.1,22
"336",12065,"12065y2013","Oberhavel",943,262,359,1,69,1079,1454,101,248,590,0,515,9925,732,9.9,1808.2,203012,99944,103068,112,33.9881386321991,15.8,5,23.3,34.5,21.4
"337",12066,"12066y2013","Oberspreewald-Lausitz",407,125,161,2,26,549,727,65,142,308,0,212,8623,656,15.5,1223.08,113842,55726,58116,93,22.8386711407038,12.7,4.7,21.9,34.1,26.5
"338",12067,"12067y2013","Oder-Spree",463,168,287,3,95,1235,1379,139,205,571,0,464,8689,732,10,2256.75,176850,87048,89802,78,53.717839977382,13.9,4.7,22.1,35.1,24.1
"339",12068,"12068y2013","Ostprignitz-Ruppin",472,153,201,3,36,559,746,65,175,269,0,237,5629,456,11.5,2526.56,98944,49145,49799,39,36.3842173350582,13.7,5,22.5,35.9,22.9
"340",12069,"12069y2013","Potsdam-Mittelmark",608,176,243,3,49,1088,1122,62,156,431,0,473,7592,611,7.6,2592,205520,101665,103855,79,23.841961852861,16.6,4.8,22.7,35.3,20.7
"341",12070,"12070y2013","Prignitz",445,84,121,2,27,332,518,63,62,221,0,172,5341,400,14.3,2138.59,77993,38513,39480,36,34.6184914030746,12.7,4.9,20.5,35.9,26
"342",12071,"12071y2013","Spree-Neiße",400,129,187,3,43,479,677,57,119,284,0,217,6901,415,11.6,1657.43,118899,58576,60323,72,36.1651485714766,12.9,4.3,20.9,37.1,24.7
"343",12072,"12072y2013","Teltow-Fläming",564,159,247,9,68,880,1185,112,158,493,0,422,6850,674,8.6,2104.2,160448,79653,80795,76,42.381332269645,15.2,5.3,24.1,33.9,21.5
"344",12073,"12073y2013","Uckermark",403,168,227,6,49,680,1016,120,159,443,0,294,10280,812,16.8,3076.9,121326,59519,61807,39,40.3870563605493,13.4,4.9,20.8,36.2,24.7
"345",13003,"13003y2013","Rostock",937,459,659,9,184,987,1241,162,104,437,0,538,12019,1200,12.6,181.26,203431,99559,103872,1122,90.4483584114516,12.7,9.1,28,27.3,22.8
"346",13004,"13004y2013","Schwerin",669,220,295,5,65,481,619,88,44,218,0,269,5665,535,12.8,130.52,91583,43536,48047,702,70.9738706965266,14,6.3,24.8,30.3,24.6
"347",13071,"13071y2013","Mecklenburgische Seenplatte",1005,316,403,3,79,1408,1811,196,173,835,0,607,19564,1695,15.2,5470.03,262412,128641,133771,48,30.1053305489078,14.1,5.1,22.5,35.4,22.9
"348",13072,"13072y2013","Landkreis Rostock",698,248,313,5,52,1396,1363,131,165,671,0,396,10358,969,10.3,3422.23,210555,104956,105599,62,24.6966350834699,15.1,4.6,22.7,36.3,21.3
"349",13073,"13073y2013","Vorpommern-Rügen",1155,328,421,4,66,2623,1414,138,227,699,0,350,15431,1378,14.5,3207.22,223109,109655,113454,70,29.5819532156928,13.7,5.2,22.5,34.6,23.9
"350",13074,"13074y2013","Nordwestmecklenburg",694,204,256,5,46,847,976,106,132,436,0,302,8332,773,10.9,2118.45,155265,77288,77977,73,29.6267671400509,15.2,5.5,24.3,33.8,21.3
"351",13075,"13075y2013","Vorpommern-Greifswald",973,396,527,6,118,1441,1473,180,186,684,0,423,17492,1490,15.7,3929.48,238185,116949,121236,61,49.5413229212587,13.8,6.6,23.6,33.8,22.4
"352",13076,"13076y2013","Ludwigslust-Parchim",737,299,390,3,77,1086,1469,154,148,724,0,443,10090,950,9.5,4751.86,211965,105749,106216,45,36.3267520581228,14.7,5,23,36.2,21.2
"353",14511,"14511y2013","Chemnitz",900,350,480,5,122,817,1301,169,159,551,0,422,12612,1057,11.5,220.86,242022,117495,124527,1096,50.4086405368107,13.3,6.6,24.8,28.5,26.8
"354",14521,"14521y2013","Erzgebirgskreis",727,228,302,3,63,1356,2420,200,211,1453,0,556,16600,1165,9.8,1828.43,351309,171418,179891,192,17.9329308386634,14.3,4.7,22.3,33.4,25.4
"355",14522,"14522y2013","Mittelsachsen",792,248,332,4,75,1476,2159,218,234,1114,0,593,14482,1153,9.5,2113.4,314591,155331,159260,149,23.8404785896609,14,5.3,22.6,32.3,25.8
"356",14523,"14523y2013","Vogtlandkreis",696,168,238,6,54,974,1454,129,178,746,0,401,10161,772,9.4,1411.9,233970,113382,120588,166,23.0798820361585,13.3,4.7,21.9,32.7,27.3
"357",14524,"14524y2013","Zwickau",1069,361,504,5,129,1406,2326,221,156,1223,0,726,14206,1110,9.3,949.27,327062,158462,168600,345,39.4420629727697,13.5,5.1,22.2,32.4,26.9
"358",14612,"14612y2013","Dresden",2014,709,1065,11,321,1998,2843,244,246,1301,0,1052,24239,2217,9.9,328.31,530754,261664,269090,1617,60.4799963825049,15.2,9,30.3,24,21.5
"359",14625,"14625y2013","Bautzen",1017,236,346,3,98,1283,2198,197,248,1119,0,634,15575,1048,10.4,2390.74,308350,151839,156511,129,31.7820658342792,14.8,4.6,22.5,32.9,25.3
"360",14626,"14626y2013","Görlitz",1195,312,479,7,153,1123,1914,223,235,1012,0,444,16004,990,13.2,2106.3,262168,127915,134253,124,58.3595251899545,13.9,4.8,21,33,27.4
"361",14627,"14627y2013","Meißen",636,172,243,4,60,1394,1721,145,179,961,0,436,12063,898,10.3,1452.39,243716,119570,124146,168,24.6188186249569,14.8,4.6,22.8,32.3,25.5
"362",14628,"14628y2013","Sächsische Schweiz-Osterzgebirge",636,157,234,3,68,1455,1603,164,136,910,0,393,11034,875,9.6,1653.7,245939,121119,124820,149,27.6491325084675,15.1,4.7,23,31.7,25.5
"363",14713,"14713y2013","Leipzig",2616,1053,1615,16,523,1547,2865,412,328,1135,0,990,29716,2871,12.3,297.39,531562,257414,274148,1787,98.3892753808587,14.3,8.3,31,24.9,21.5
"364",14729,"14729y2013","Leipzig",875,210,291,7,64,1638,1541,134,168,837,0,402,12188,1015,9.7,1647.12,257596,126061,131535,156,24.8451062904703,14.5,4.7,22.5,33.8,24.5
"365",14730,"14730y2013","Nordsachsen",710,186,266,2,74,856,1308,143,152,715,0,298,11749,948,12,2020.35,197346,97518,99828,98,37.4975930599049,14.2,4.8,23,34.3,23.8
"366",15001,"15001y2013","Dessau-Roßlau",453,190,281,5,78,316,492,58,34,243,0,157,5044,423,12.9,244.74,83616,40428,43188,342,93.2835820895522,12.1,5.2,21.5,32.3,28.9
"367",15002,"15002y2013","Halle (Saale)",1807,620,909,12,249,754,1506,159,172,633,0,542,13682,1162,13.2,135.01,231565,110632,120933,1715,107.52920346339,13.7,9.3,26.9,26.7,23.4
"368",15003,"15003y2013","Magdeburg",1336,485,800,11,274,881,1354,131,108,625,0,490,13769,1334,12.5,201,231021,112495,118526,1149,118.603936438679,13.3,8.6,26.6,27.9,23.6
"369",15081,"15081y2013","Altmarkkreis Salzwedel",339,138,175,0,29,448,611,68,65,327,0,151,4385,435,9.9,2293.05,86312,43061,43251,38,33.5990360552414,14.7,5.3,22.9,34.8,22.3
"370",15082,"15082y2013","Anhalt-Bitterfeld",695,237,323,9,62,711,963,118,110,498,0,237,10394,899,12.3,1453.51,166828,81533,85295,115,37.1640252235836,12.8,5.3,22.2,34.1,25.5
"371",15083,"15083y2013","Börde",665,209,272,8,41,786,1091,82,91,649,0,269,8385,738,9.3,2366.64,172955,86004,86951,73,23.7055881587696,14.5,5.1,23.9,35.1,21.4
"372",15084,"15084y2013","Burgenlandkreis",842,236,342,8,87,793,1155,119,84,547,0,405,11831,990,13.2,1413.69,184956,90995,93961,131,47.0382144942581,12.9,4.8,22.2,34,26.1
"373",15085,"15085y2013","Harz",814,312,431,5,91,1311,1497,123,123,830,0,421,10495,754,9.6,2104.55,221043,107757,113286,105,41.1684604352999,13.2,5.1,22.1,33.8,25.8
"374",15086,"15086y2013","Jerichower Land",374,125,161,1,29,529,589,73,47,336,0,133,4961,348,11,1576.77,91721,45624,46097,58,31.6176230089074,13.7,4.8,22.5,35.3,23.7
"375",15087,"15087y2013","Mansfeld-Südharz",871,185,237,1,40,593,817,130,80,427,0,180,10193,807,15.3,1448.82,143246,70402,72844,99,27.923990896779,12.7,4.7,21.3,34.5,26.9
"376",15088,"15088y2013","Saalekreis",952,219,322,4,87,961,1065,107,81,661,0,216,10208,963,10.6,1433.66,187690,92599,95091,131,46.3530289306836,13.8,5.1,23.3,34.4,23.3
"377",15089,"15089y2013","Salzlandkreis",929,275,380,13,78,844,1320,139,149,728,0,304,12795,727,13.2,1426.68,198715,96699,102016,139,39.2521953551569,13,5.2,22,33.8,26
"378",15090,"15090y2013","Stendal",558,177,236,2,44,564,871,101,88,476,0,206,8445,698,14.9,2423.15,115471,56882,58589,48,38.104805535589,14.1,5.5,22.1,35.2,23.1
"379",15091,"15091y2013","Wittenberg",539,181,249,0,54,592,791,71,72,469,0,179,7546,611,12,1930.3,129438,63457,65981,67,41.7188151856487,12.8,4.8,21.3,35,26.1
"380",16051,"16051y2013","Erfurt",1732,548,716,6,142,851,1274,119,164,485,0,506,9136,620,9.5,269.15,204880,98751,106129,761,69.3088637251074,14.5,7.9,27.8,28.6,21.2
"381",16052,"16052y2013","Gera",778,229,282,1,49,341,532,48,104,200,0,180,5861,427,13.2,151.92,94977,45497,49480,625,51.5914379270771,12.4,5.5,22.5,32.8,26.8
"382",16053,"16053y2013","Jena",484,167,210,3,29,397,665,35,58,202,0,370,3771,269,7.7,114.48,107679,53190,54489,941,26.9318994418596,13.6,11,31.2,23.8,20.3
"383",16054,"16054y2013","Suhl",218,89,108,0,13,146,191,17,49,85,0,40,1430,124,8.3,102.71,35665,17212,18453,347,36.450301415954,11.2,4.7,20.3,35.1,28.7
"384",16055,"16055y2013","Weimar",411,129,174,1,35,356,497,39,59,178,0,221,2644,210,9.5,84.19,63315,30402,32913,752,55.2791597567717,15.4,8.2,27.6,27.1,21.7
"385",16056,"16056y2013","Eisenach",281,93,124,3,25,240,314,36,36,121,0,121,2049,169,10.5,103.84,41567,20118,21449,400,60.1438641229822,13.9,5.5,25.1,30.2,25.3
"386",16061,"16061y2013","Eichsfeld",261,73,90,4,9,471,835,52,93,399,0,291,3469,280,6.8,940.13,100951,50650,50301,107,8.91521629305307,16,5.8,25.1,31.9,21.1
"387",16062,"16062y2013","Nordhausen",323,111,144,3,23,373,643,75,130,287,0,151,4638,362,11.6,711.02,85380,42138,43242,120,26.9383930662919,13.8,6,23.1,32.3,24.7
"388",16063,"16063y2013","Wartburgkreis",335,104,123,0,11,600,836,38,115,454,0,229,4418,361,6.9,1304.87,126283,63070,63213,97,8.71059445847818,14,5.1,24,33.9,23
"389",16064,"16064y2013","Unstrut-Hainich-Kreis",427,142,207,2,51,468,821,83,105,362,0,271,6288,503,12.3,975.56,104245,51406,52839,107,48.9232097462708,15,5.5,23.5,33,23
"390",16065,"16065y2013","Kyffhäuserkreis",324,97,127,4,17,359,540,64,95,241,0,140,4686,306,12.8,1035.19,77656,38431,39225,75,21.8914185639229,13.4,5,22.1,34.8,24.7
"391",16066,"16066y2013","Schmalkalden-Meiningen",509,117,162,1,34,587,856,87,130,446,0,193,4434,316,7.1,1210.13,125574,62616,62958,104,27.0756685301097,13.2,5.5,23.5,33.9,23.9
"392",16067,"16067y2013","Gotha",558,160,213,2,43,621,949,60,149,393,0,347,5761,447,8.7,935.62,135155,66902,68253,144,31.8153231474973,14.5,5.1,23.8,33.1,23.4
"393",16068,"16068y2013","Sömmerda",301,83,103,0,13,276,492,45,93,251,0,103,3820,285,10.7,804.21,70833,35281,35552,88,18.353027543659,14.5,5,24.1,34.7,21.7
"394",16069,"16069y2013","Hildburghausen",249,44,61,2,11,256,531,29,106,302,0,94,2085,157,6.2,937.27,65032,32383,32649,69,16.914749661705,13.8,5.2,24.5,34.2,22.3
"395",16070,"16070y2013","Ilm-Kreis",539,186,249,0,56,468,722,61,88,376,0,197,4737,363,9,843.14,108958,54387,54571,129,51.3959507333101,13.5,6.4,24,32.3,23.8
"396",16071,"16071y2013","Weimarer Land",345,103,140,1,31,424,536,39,67,315,0,115,3174,243,7.7,803.04,81704,40414,41290,102,37.9418388328601,15.5,4.7,24,34.7,21.1
"397",16072,"16072y2013","Sonneberg",267,86,106,0,17,214,360,34,44,177,0,105,1428,143,5,433.48,57252,28002,29250,132,29.693285824076,12.7,4.7,23,34.2,25.5
"398",16073,"16073y2013","Saalfeld-Rudolstadt",725,184,213,2,18,539,729,72,125,336,0,196,4892,393,9.1,1034.63,110307,54020,56287,107,16.3180940466154,12.9,4.6,22,33.7,26.7
"399",16074,"16074y2013","Saale-Holzland-Kreis",351,78,98,2,13,368,528,32,69,306,0,121,3390,249,8.1,816.97,84001,41645,42356,103,15.476006238021,14.3,4.9,23.2,34.3,23.2
"400",16075,"16075y2013","Saale-Orla-Kreis",507,96,114,0,13,369,601,39,96,304,0,162,3421,278,8.2,1148.39,83654,41176,42478,73,15.5402013053769,13.9,4.9,22.7,34.1,24.3
"401",16076,"16076y2013","Greiz",377,104,128,2,17,431,762,41,124,404,0,193,4740,280,9.7,843.54,102167,50178,51989,121,16.6394236886666,13.1,4.4,21.1,35.2,26.2
