"","district","district_year","bodily harm","dangerous bodily harm","violent crime","murder and manslaughter","robbery","HusbandAndWifeTotal","year","GraduatesTotal","GraduatesWithHouthDegreeTotal","GraduatesWithHauptschulDegreeTotal","GraduatesWithRealschulDegreeTotal","GraduatesWithFachhochschulDegreeTotal","GraduatesWithHochschulreifeDegreeTotal"
"235",9178,"9178y2013",459,142,175,0,18,692,2013,1844,68,356,971,0,449
"236",9179,"9179y2013",608,136,176,3,29,862,2013,2139,58,362,879,0,840
"237",9180,"9180y2013",250,64,76,4,5,728,2013,1006,22,195,419,0,370
"238",9181,"9181y2013",335,78,103,3,11,664,2013,1457,78,303,691,0,385
"239",9182,"9182y2013",256,86,105,4,6,1010,2013,1005,30,221,554,0,200
"240",9183,"9183y2013",384,86,121,4,17,487,2013,1429,72,345,716,0,296
"241",9184,"9184y2013",740,283,348,2,46,1649,2013,2916,98,393,1016,0,1409
"242",9185,"9185y2013",402,115,140,0,12,497,2013,1194,43,255,656,0,240
"243",9186,"9186y2013",526,144,167,6,13,567,2013,1197,75,309,531,0,282
"244",9187,"9187y2013",830,191,224,9,17,1408,2013,2478,107,527,1318,0,526
"245",9188,"9188y2013",285,91,124,3,19,846,2013,1185,42,154,452,0,537
"246",9189,"9189y2013",593,163,195,6,19,982,2013,2064,80,445,1046,0,493
"247",9190,"9190y2013",424,87,104,1,14,615,2013,1657,59,350,838,0,410
"248",9261,"9261y2013",774,192,236,1,38,300,2013,1114,36,162,565,0,351
"249",9262,"9262y2013",421,113,148,6,27,340,2013,898,33,143,445,0,277
"250",9263,"9263y2013",423,113,154,1,23,247,2013,981,49,176,399,0,357
"251",9271,"9271y2013",575,154,185,4,17,568,2013,1407,51,324,708,1,323
"252",9272,"9272y2013",234,52,63,0,4,369,2013,846,25,220,402,0,199
"253",9273,"9273y2013",403,128,144,0,10,551,2013,1229,47,345,530,0,307
"254",9274,"9274y2013",495,115,140,2,18,666,2013,1362,43,451,701,0,167
"255",9275,"9275y2013",555,124,150,4,17,820,2013,1798,61,479,892,0,366
"256",9276,"9276y2013",252,58,71,3,3,436,2013,819,27,244,413,0,135
"257",9277,"9277y2013",443,137,161,10,8,527,2013,1400,55,384,681,0,280
"258",9278,"9278y2013",265,53,65,1,4,425,2013,783,16,261,360,0,146
"259",9279,"9279y2013",364,91,104,1,8,404,2013,1012,27,326,412,0,247
"260",9361,"9361y2013",279,58,78,0,17,210,2013,886,60,129,400,0,297
"261",9362,"9362y2013",1178,323,441,5,94,1014,2013,1937,92,329,790,0,726
"262",9363,"9363y2013",406,106,134,6,20,225,2013,872,28,127,441,0,276
"263",9371,"9371y2013",238,77,95,0,12,429,2013,712,18,270,347,0,77
"264",9372,"9372y2013",404,96,108,0,6,613,2013,1469,29,397,761,0,282
"265",9373,"9373y2013",391,98,110,2,4,562,2013,1609,40,447,759,0,363
"266",9374,"9374y2013",329,96,114,2,7,404,2013,853,32,293,381,0,147
"267",9375,"9375y2013",438,92,118,4,13,759,2013,1097,31,389,527,0,150
"268",9376,"9376y2013",510,145,172,1,18,703,2013,1543,39,368,754,0,382
"269",9377,"9377y2013",182,37,54,2,9,329,2013,715,27,184,400,0,104
"270",9461,"9461y2013",536,146,182,5,24,449,2013,1399,43,150,431,0,775
"271",9462,"9462y2013",459,168,216,9,25,218,2013,1274,50,168,511,0,545
"272",9463,"9463y2013",387,94,132,12,21,278,2013,862,46,77,427,0,312
"273",9464,"9464y2013",491,125,173,2,38,188,2013,801,48,154,327,0,272
"274",9471,"9471y2013",449,154,173,3,8,670,2013,911,28,344,539,0,0
"275",9472,"9472y2013",287,68,84,1,8,548,2013,740,26,199,429,0,86
"276",9473,"9473y2013",294,82,108,8,11,343,2013,509,29,233,147,0,100
"277",9474,"9474y2013",326,79,99,9,8,584,2013,1213,38,231,596,0,348
"278",9475,"9475y2013",394,83,103,4,14,395,2013,727,31,203,328,0,165
"279",9476,"9476y2013",260,81,108,8,12,284,2013,688,29,130,341,0,188
"280",9477,"9477y2013",360,84,109,7,9,371,2013,689,59,196,240,0,194
"281",9478,"9478y2013",355,93,130,12,22,304,2013,765,43,135,424,0,163
"282",9479,"9479y2013",372,77,93,1,11,326,2013,921,51,181,445,0,244
"283",9561,"9561y2013",266,72,97,4,17,203,2013,803,23,109,353,0,318
"284",9562,"9562y2013",626,186,228,5,30,436,2013,1345,51,144,479,0,671
"285",9563,"9563y2013",527,177,251,8,45,579,2013,1260,99,264,533,0,364
"286",9564,"9564y2013",4218,1454,1914,25,359,2396,2013,4792,360,1213,1791,0,1428
"287",9565,"9565y2013",140,33,40,2,3,171,2013,664,31,96,290,0,247
"288",9571,"9571y2013",537,146,186,8,21,879,2013,1993,130,451,1041,0,371
"289",9572,"9572y2013",290,82,104,5,10,586,2013,1367,33,311,509,0,514
"290",9573,"9573y2013",215,71,87,0,13,497,2013,894,19,182,340,0,353
"291",9574,"9574y2013",534,160,197,2,26,843,2013,1800,115,428,730,0,527
"292",9575,"9575y2013",268,99,118,3,10,456,2013,1208,61,196,664,0,287
"293",9576,"9576y2013",304,91,116,1,17,629,2013,1216,77,293,532,0,314
"294",9577,"9577y2013",351,84,106,1,12,470,2013,1028,27,219,506,0,276
"295",9661,"9661y2013",592,153,199,2,36,345,2013,1253,47,179,543,0,484
"296",9662,"9662y2013",457,135,160,4,12,353,2013,1322,66,199,560,5,492
"297",9663,"9663y2013",931,293,354,2,47,516,2013,2098,115,250,905,0,828
"298",9671,"9671y2013",408,84,111,6,15,678,2013,1511,73,413,704,0,321
"299",9672,"9672y2013",377,76,98,0,12,529,2013,1105,19,297,489,0,300
"300",9673,"9673y2013",297,78,85,1,5,334,2013,1122,46,266,524,0,286
"301",9674,"9674y2013",395,88,102,1,7,417,2013,1071,34,254,542,0,241
"302",9675,"9675y2013",270,74,93,3,15,456,2013,1427,56,237,638,0,496
"303",9676,"9676y2013",454,117,136,6,7,620,2013,1393,46,410,637,0,300
"304",9677,"9677y2013",303,90,106,1,6,562,2013,1471,36,287,769,0,379
"305",9678,"9678y2013",324,60,75,1,7,410,2013,553,32,276,245,0,0
"306",9679,"9679y2013",287,66,77,0,7,728,2013,744,29,233,368,0,114
"307",9761,"9761y2013",2500,560,719,7,125,1201,2013,3192,147,753,1248,0,1044
