"","year","district","InfluxTotal","OutflowTotal"
"423",2013,14191,NA,NA
"424",2013,14193,NA,NA
"426",2013,14262,NA,NA
"427",2013,14263,NA,NA
"428",2013,14264,NA,NA
"429",2013,14272,NA,NA
"430",2013,14280,NA,NA
"431",2013,14284,NA,NA
"432",2013,14285,NA,NA
"433",2013,14286,NA,NA
"434",2013,14287,NA,NA
"435",2013,14290,NA,NA
"436",2013,14292,NA,NA
"438",2013,14365,NA,NA
"439",2013,14374,NA,NA
"440",2013,14375,NA,NA
"441",2013,14379,NA,NA
"442",2013,14383,NA,NA
"443",2013,14389,NA,NA
"445",2013,14511,14783,12744
"446",2013,14521,13499,14993
"447",2013,14522,12988,13699
"448",2013,14523,8717,9163
"449",2013,14524,12317,12984
"451",2013,14612,28308,23673
"452",2013,14625,12294,13246
"453",2013,14626,11483,12046
"454",2013,14627,11078,10869
"455",2013,14628,11325,10245
"457",2013,14713,33510,22848
"458",2013,14729,11146,11275
"459",2013,14730,8762,8996
"461",2013,15001,2527,2847
"462",2013,15002,11668,10639
"463",2013,15003,11716,10006
"464",2013,15081,3619,3716
"465",2013,15082,6581,6887
"466",2013,15083,7096,7383
"467",2013,15084,8085,7943
"468",2013,15085,12054,12464
"469",2013,15086,4103,4123
"470",2013,15087,5796,6132
"471",2013,15088,8387,8876
"472",2013,15089,7596,8338
"473",2013,15090,4932,5401
"474",2013,15091,4917,5170
"476",2013,15101,NA,NA
"477",2013,15151,NA,NA
"478",2013,15153,NA,NA
"479",2013,15154,NA,NA
"480",2013,15159,NA,NA
"481",2013,15171,NA,NA
"483",2013,15202,NA,NA
"484",2013,15256,NA,NA
"485",2013,15260,NA,NA
"486",2013,15261,NA,NA
"487",2013,15265,NA,NA
"488",2013,15266,NA,NA
"489",2013,15268,NA,NA
"491",2013,15303,NA,NA
"492",2013,15352,NA,NA
"493",2013,15355,NA,NA
"494",2013,15357,NA,NA
"495",2013,15358,NA,NA
"496",2013,15362,NA,NA
"497",2013,15363,NA,NA
"498",2013,15364,NA,NA
"499",2013,15367,NA,NA
"500",2013,15369,NA,NA
"501",2013,15370,NA,NA
"503",2013,16051,10690,9220
"504",2013,16052,3599,3406
"505",2013,16053,7195,6558
"506",2013,16054,1429,1542
"507",2013,16055,4113,3965
"508",2013,16056,2042,1953
"509",2013,16061,3857,4065
"510",2013,16062,4329,4338
"511",2013,16063,4915,5297
"512",2013,16064,4156,4261
"513",2013,16065,3064,3378
"514",2013,16066,5744,5700
"515",2013,16067,6759,6326
"516",2013,16068,3277,3189
"517",2013,16069,2576,2785
"518",2013,16070,5935,5996
"519",2013,16071,4055,4116
"520",2013,16072,2118,2195
"521",2013,16073,4547,4902
"522",2013,16074,6991,6983
"523",2013,16075,3502,3823
"524",2013,16076,3868,4247
"525",2013,16077,3669,4033
"18",2013,2,96782,84823
"366",2013,11,169466,127574
