"","district","FoundationsDensity100k","FoundationsTotal"
"172","Neuburg-Schrobenhausen, Landkreis",18.7,17
"173","Warendorf, Kreis",18.7,51
"174","Cuxhaven, Landkreis",18.7,37
"175","Ebersberg, Landkreis",18.6,24
"176","Vogelsbergkreis",18.5,20
"177","Mainz-Bingen, Landkreis",18.4,37
"178","Osterode am Harz, Landkreis",18.4,14
"179","Traunstein, Landkreis",18.4,31
"180","Nürnberger Land, Landkreis",18.3,30
"181","Konstanz, Landkreis",18.3,49
"182","Alb-Donau-Kreis",18.2,34
"183","Neumünster, Kreisfreie Stadt",18.1,14
"184","Rosenheim, Landkreis",17.9,44
"185","Rems-Murr-Kreis",17.9,73
"186","St. Wendel, Landkreis",17.8,16
"187","Schaumburg, Landkreis",17.8,28
"188","Waldshut, Landkreis",17.8,29
"189","Lörrach, Landkreis",17.8,39
"190","Schwarzwald-Baar-Kreis",17.6,36
"191","Oberbergischer Kreis",17.6,48
"192","Paderborn, Kreis",17.6,52
"193","Mettmann, Kreis",17.6,84
"194","Deggendorf, Landkreis",17.4,20
"195","Rhein-Sieg-Kreis",17.4,101
"196","Mülheim an der Ruhr, Kreisfreie Stadt",17.4,29
"197","Main-Spessart, Landkreis",17.3,22
"198","Herford, Kreis",17.2,43
"199","Freising, Landkreis",17,28
"200","Breisgau-Hochschwarzwald, Landkreis",17,42
"201","Emsland, Landkreis",17,53
"202","Göppingen, Landkreis",17,42
"203","Rheinisch-Bergischer Kreis",16.9,47
"204","Main-Tauber-Kreis",16.9,22
"205","Stormarn, Landkreis",16.9,39
"206","Bergstraße, Landkreis",16.8,44
"207","Zollernalbkreis",16.7,31
"208","Harburg, Landkreis",16.7,40
"209","Salzlandkreis",16.7,34
"210","Esslingen, Landkreis",16.6,84
"211","Aurich, Landkreis",16.6,31
"212","Limburg-Weilburg, Landkreis",16.4,28
"213","Schleswig-Flensburg, Landkreis",16.3,32
"214","Ostalbkreis",16.3,50
"215","Eichstätt, Landkreis",16.1,20
"216","Minden-Lübbecke, Kreis",16.1,50
"217","Rhein-Kreis Neuss",16,70
"218","Forchheim, Landkreis",15.9,18
"219","Borken, Kreis",15.9,58
"220","Städteregion Aachen (einschl. Stadt Aachen)",15.9,86
"221","Ahrweiler, Landkreis",15.9,20
"222","Höxter, Kreis",15.9,23
"223","Donnersbergkreis",15.8,12
"224","Südliche Weinstraße, Landkreis",15.7,17
"225","Regen, Landkreis",15.7,12
"226","Rhein-Lahn-Kreis",15.5,19
"227","Remscheid, Kreisfreie Stadt",15.4,17
"228","Leer, Landkreis",15.2,25
"229","Neu-Ulm, Landkreis",15.2,25
"230","Dessau-Roßlau, Kreisfreie Stadt",15.2,13
"231","Main-Kinzig-Kreis",15.2,61
"232","Grafschaft Bentheim, Landkreis",15,20
"233","Herzogtum Lauenburg, Landkreis",14.9,28
"234","Görlitz, Landkreis",14.9,40
"235","Euskirchen, Kreis",14.9,28
"236","Soest, Kreis",14.8,44
"237","Eichsfeld, Kreis",14.7,15
"238","Augsburg, Landkreis",14.7,35
"239","Heilbronn, Landkreis",14.5,47
"240","Magdeburg, Kreisfreie Stadt",14.4,33
"241","Diepholz, Landkreis",14.3,30
"242","Fürstenfeldbruck, Landkreis",14.3,29
"243","Ludwigsburg, Landkreis",14.3,73
"244","Unstrut-Hainich-Kreis",14.2,15
"245","Schweinfurt, Landkreis",14.2,16
"246","Wesel, Kreis",14.1,65
"247","Altötting, Landkreis",14.1,15
"248","Heidenheim, Landkreis",14.1,18
"249","Bochum, Kreisfreie Stadt",14.1,51
"250","Wolfsburg, Kreisfreie Stadt",14.1,17
"251","Rottweil, Landkreis",14,19
"252","Ortenaukreis",13.9,57
"253","Pinneberg, Landkreis",13.8,41
"254","Leipzig, Stadt",13.7,70
"255","Böblingen, Landkreis",13.7,50
"256","Altmarkkreis Salzwedel",13.7,12
"257","Delmenhorst, Kreisfreie Stadt",13.6,10
"258","Rhein-Pfalz-Kreis",13.6,20
"259","Tirschenreuth, Landkreis",13.4,10
"260","Hagen, Kreisfreie Stadt",13.3,25
"261","Harz, Landkreis",13.3,30
"262","Waldeck-Frankenberg, Landkreis",13.3,21
"263","Calw, Landkreis",13.2,20
"264","Mühldorf a.Inn, Landkreis",13.1,14
"265","Westerwaldkreis",13,26
"266","Freudenstadt, Landkreis",13,15
"267","Halle (Saale), Kreisfreie Stadt",13,30
"268","Märkischer Kreis",13,55
"269","Schwäbisch Hall, Landkreis",12.9,24
"270","Germersheim, Landkreis",12.9,16
"271","Wittenberg, Landkreis",12.9,17
"272","Recklinghausen, Kreis",12.8,79
"273","Düren, Kreis",12.8,33
"274","Emmendingen, Landkreis",12.8,20
"275","Darmstadt-Dieburg, Landkreis",12.7,36
"276","Nordhausen, Kreis",12.7,11
"277","Brandenburg an der Havel, Kreisfreie Stadt",12.6,9
"278","Leverkusen, Kreisfreie Stadt",12.5,20
"279","Olpe, Kreis",12.5,17
"280","Steinfurt, Kreis",12.4,54
"281","Kusel, Landkreis",12.4,9
"282","Anhalt-Bitterfeld, Landkreis",12.3,21
"283","Dortmund, Kreisfreie Stadt",12.3,70
"284","Roth, Landkreis",12.2,15
"285","Landkreis Nordwestmecklenburg",12.2,19
"286","Viersen, Kreis",12.2,36
"287","Rastatt, Landkreis",12.2,27
"288","Helmstedt, Landkreis",12.1,11
"289","Landkreis Vorpommern-Greifswald",12,29
"290","Neckar-Odenwald-Kreis",11.9,17
"291","Schwandorf, Landkreis",11.9,17
"292","Duisburg, Kreisfreie Stadt",11.9,58
"293","Ingolstadt, Stadt",11.9,15
"294","Lichtenfels, Landkreis",11.9,8
"295","Offenbach, Landkreis",11.7,39
"296","Bernkastel-Wittlich, Landkreis",11.6,13
"297","Freyung-Grafenau, Landkreis",11.5,9
"298","Fürth, Landkreis",11.5,13
"299","Neustadt a.d.Waldnaab, Landkreis",11.4,11
"300","Coburg, Landkreis",11.4,10
"301","Hochsauerlandkreis",11.3,30
"302","Ammerland, Landkreis",11,13
"303","Stendal, Landkreis",11,13
"304","Mönchengladbach, Kreisfreie Stadt",11,28
