district;Landkreis/Stadt;Bundesland;Dichte;Anzahl
5316;Leverkusen, Kreisfreie Stadt;Nordrhein-Westfalen;12,5;20
9478;Lichtenfels, Landkreis;Bayern;11,9;8
6533;Limburg-Weilburg, Landkreis;Hessen;16,4;28
9776;Lindau (Bodensee), Landkreis;Bayern;40,8;32
5766;Lippe, Kreis;Nordrhein-Westfalen;22,7;79
8336;Lörrach, Landkreis;Baden-Württemberg;17,8;39
1003;Lübeck, Hansestadt, Kreisfreie Stadt;Schleswig-Holstein;52,2;110
3354;Lüchow-Dannenberg, Landkreis;Niedersachsen;38,7;19
8118;Ludwigsburg, Landkreis;Baden-Württemberg;14,3;73
7314;Ludwigshafen am Rhein, Kreisfreie Stadt;Rheinland-Pfalz;21,4;34
3355;Lüneburg, Landkreis;Niedersachsen;36,1;63
15003;Magdeburg, Kreisfreie Stadt;Sachsen-Anhalt;14,4;33
6435;Main-Kinzig-Kreis;Hessen;15,2;61
9677;Main-Spessart, Landkreis;Bayern;17,3;22
8128;Main-Tauber-Kreis;Baden-Württemberg;16,9;22
6436;Main-Taunus-Kreis;Hessen;26,2;59
7339;Mainz-Bingen, Landkreis;Rheinland-Pfalz;18,4;37
7315;Mainz, Kreisfreie Stadt;Rheinland-Pfalz;63,7;128
8222;Mannheim, Universitätsstadt, Kreisfreie Stadt;Baden-Württemberg;26,4;77
15087;Mansfeld-Südharz, Landkreis;Sachsen-Anhalt;7,5;11
6534;Marburg-Biedenkopf, Landkreis;Hessen;34,8;84
12064;Märkisch-Oderland, Landkreis;Brandenburg;4,3;8
5962;Märkischer Kreis;Nordrhein-Westfalen;13,0;55
7137;Mayen-Koblenz, Landkreis;Rheinland-Pfalz;19,5;41
14627;Meißen, Landkreis;Sachsen;6,9;17
9764;Memmingen, Stadt;Bayern;65,5;27
10042;Merzig-Wadern, Landkreis;Saarland;10,6;11
5158;Mettmann, Kreis;Nordrhein-Westfalen;17,6;84
9182;Miesbach, Landkreis;Bayern;34,1;32
9676;Miltenberg, Landkreis;Bayern;25,0;32
5770;Minden-Lübbecke, Kreis;Nordrhein-Westfalen;16,1;50
14522;Mittelsachsen, Landkreis;Sachsen;7,5;24
5116;Mönchengladbach, Kreisfreie Stadt;Nordrhein-Westfalen;11,0;28
9183;Mühldorf a.Inn, Landkreis;Bayern;13,1;14
5117;Mülheim an der Ruhr, Kreisfreie Stadt;Nordrhein-Westfalen;17,4;29
9162;München, Landeshauptstadt;Bayern;65,6;896
9184;München, Landkreis;Bayern;24,0;77
5515;Münster, Kreisfreie Stadt;Nordrhein-Westfalen;59,6;175
8225;Neckar-Odenwald-Kreis;Baden-Württemberg;11,9;17
9775;Neu-Ulm, Landkreis;Bayern;15,2;25
9185;Neuburg-Schrobenhausen, Landkreis;Bayern;18,7;17
9373;Neumarkt i.d.OPf., Landkreis;Bayern;18,9;24
1004;Neumünster, Kreisfreie Stadt;Schleswig-Holstein;18,1;14
10043;Neunkirchen, Landkreis;Saarland;9,6;13
9575;Neustadt a.d.Aisch-Bad Windsheim, Landkreis;Bayern;26,7;26
9374;Neustadt a.d.Waldnaab, Landkreis;Bayern;11,4;11
7316;Neustadt an der Weinstraße, Kreisfreie Stadt;Rheinland-Pfalz;47,8;25
7138;Neuwied, Landkreis;Rheinland-Pfalz;25,5;46
3256;Nienburg (Weser), Landkreis;Niedersachsen;22,2;27
1054;Nordfriesland, Landkreis;Schleswig-Holstein;54,0;88
16062;Nordhausen, Kreis;Thüringen;12,7;11
14730;Nordsachsen, Landkreis;Sachsen;5,5;11
3155;Northeim, Landkreis;Niedersachsen;24,2;33
9564;Nürnberg, Stadt;Bayern;44,5;218
9574;Nürnberger Land, Landkreis;Bayern;18,3;30
9780;Oberallgäu, Landkreis;Bayern;26,2;39
5374;Oberbergischer Kreis;Nordrhein-Westfalen;17,6;48
5119;Oberhausen, Kreisfreie Stadt;Nordrhein-Westfalen;8,6;18
12065;Oberhavel, Landkreis;Brandenburg;3,0;6
12066;Oberspreewald-Lausitz, Landkreis;Brandenburg;6,8;8
6437;Odenwaldkreis;Hessen;26,9;26
12067;Oder-Spree, Landkreis;Brandenburg;4,5;8
6413;Offenbach am Main, Kreisfreie Stadt;Hessen;26,1;30
6438;Offenbach, Landkreis;Hessen;11,7;39
3403;Oldenburg (Oldenburg), Kreisfreie Stadt;Niedersachsen;71,7;113
3458;Oldenburg, Landkreis;Niedersachsen;20,8;26
5966;Olpe, Kreis;Nordrhein-Westfalen;12,5;17
8317;Ortenaukreis;Baden-Württemberg;13,9;57
3404;Osnabrück, Kreisfreie Stadt;Niedersachsen;44,0;68
3459;Osnabrück, Landkreis;Niedersachsen;21,4;75
8136;Ostalbkreis;Baden-Württemberg;16,3;50
9777;Ostallgäu, Landkreis;Bayern;23,2;31
3356;Osterholz, Landkreis;Niedersachsen;25,3;28
3156;Osterode am Harz, Landkreis;Niedersachsen;18,4;14
1055;Ostholstein, Landkreis;Schleswig-Holstein;19,7;39
12068;Ostprignitz-Ruppin, Landkreis;Brandenburg;6,0;6
5774;Paderborn, Kreis;Nordrhein-Westfalen;17,6;52
9262;Passau, Landkreis;Bayern;9,2;17
9275;Passau, Stadt;Bayern;61,7;30
3157;Peine, Landkreis;Niedersachsen;10,8;14
9186;Pfaffenhofen a.d.Ilm, Landkreis;Bayern;6,8;8
8231;Pforzheim, Kreisfreie Stadt;Baden-Württemberg;28,6;33
1056;Pinneberg, Landkreis;Schleswig-Holstein;13,8;41
7317;Pirmasens, Kreisfreie Stadt;Rheinland-Pfalz;32,0;13
1057;Plön, Landkreis;Schleswig-Holstein;29,1;37
12069;Potsdam-Mittelmark, Landkreis;Brandenburg;3,4;7
12054;Potsdam, Kreisfreie Stadt;Brandenburg;33,0;52
12070;Prignitz, Landkreis;Brandenburg;7,5;6
8216;Rastatt, Landkreis;Baden-Württemberg;12,2;27
8436;Ravensburg, Landkreis;Baden-Württemberg;27,4;74
5562;Recklinghausen, Kreis;Nordrhein-Westfalen;12,8;79
9276;Regen, Landkreis;Bayern;15,7;12
9375;Regensburg, Landkreis;Bayern;7,1;13
9362;Regensburg, Stadt;Bayern;55,0;75
3241;Region Hannover, Landkreis;Niedersachsen;35,0;387
8119;Rems-Murr-Kreis;Baden-Württemberg;17,9;73
5120;Remscheid, Kreisfreie Stadt;Nordrhein-Westfalen;15,4;17
1058;Rendsburg-Eckernförde, Landkreis;Schleswig-Holstein;23,1;62
8415;Reutlingen, Landkreis;Baden-Württemberg;22,7;62
5362;Rhein-Erft-Kreis;Nordrhein-Westfalen;9,1;41
7140;Rhein-Hunsrück-Kreis;Rheinland-Pfalz;20,7;21
5162;Rhein-Kreis Neuss;Nordrhein-Westfalen;16,0;70
7141;Rhein-Lahn-Kreis;Rheinland-Pfalz;15,5;19
8226;Rhein-Neckar-Kreis;Baden-Württemberg;7,6;40
7338;Rhein-Pfalz-Kreis;Rheinland-Pfalz;13,6;20
5382;Rhein-Sieg-Kreis;Nordrhein-Westfalen;17,4;101
6439;Rheingau-Taunus-Kreis;Hessen;21,6;39
5378;Rheinisch-Bergischer Kreis;Nordrhein-Westfalen;16,9;47
9673;Rhön-Grabfeld, Landkreis;Bayern;24,9;20
9163;Rosenheim, Landkreis;Bayern;17,9;44
9187;Rosenheim, Stadt;Bayern;38,6;23
3357;Rotenburg (Wümme), Landkreis;Niedersachsen;27,1;44
9576;Roth, Landkreis;Bayern;12,2;15
9277;Rottal-Inn, Landkreis;Bayern;9,4;11
8325;Rottweil, Landkreis;Baden-Württemberg;14,0;19
16074;Saale-Holzland-Kreis;Thüringen;9,4;8
16075;Saale-Orla-Kreis;Thüringen;5,9;5
15088;Saalekreis;Sachsen-Anhalt;5,8;11
16073;Saalfeld-Rudolstadt, Kreis;Thüringen;9,8;11
10041;Saarbrücken, Regionalverband;Saarland;23,2;76
10044;Saarlouis, Landkreis;Saarland;8,6;17
10045;Saarpfalz-Kreis;Saarland;22,1;32
14628;Sächsische Schweiz-Osterzgebirge, Landkreis;Sachsen;8,5;21
3102;Salzgitter, Kreisfreie Stadt;Niedersachsen;6,1;6
15089;Salzlandkreis;Sachsen-Anhalt;16,7;34
3257;Schaumburg, Landkreis;Niedersachsen;17,8;28
1059;Schleswig-Flensburg, Landkreis;Schleswig-Holstein;16,3;32
16066;Schmalkalden-Meiningen, Kreis;Thüringen;7,9;10
9565;Schwabach, Stadt;Bayern;20,7;8
8127;Schwäbisch Hall, Landkreis;Baden-Württemberg;12,9;24
6634;Schwalm-Eder-Kreis;Hessen;21,0;38
9376;Schwandorf, Landkreis;Bayern;11,9;17
8326;Schwarzwald-Baar-Kreis;Baden-Württemberg;17,6;36
9662;Schweinfurt, Landkreis;Bayern;14,2;16
9678;Schweinfurt, Stadt;Bayern;103,6;54
1060;Segeberg, Landkreis;Schleswig-Holstein;9,2;24
5970;Siegen-Wittgenstein, Kreis;Nordrhein-Westfalen;21,7;60
8437;Sigmaringen, Landkreis;Baden-Württemberg;26,7;34
5974;Soest, Kreis;Nordrhein-Westfalen;14,8;44
5122;Solingen, Kreisfreie Stadt;Nordrhein-Westfalen;25,1;39
3358;Landkreis Heidekreis;Niedersachsen;30,9;42
16068;Sömmerda, Kreis;Thüringen;9,8;7
16072;Sonneberg, Kreis;Thüringen;3,4;2
7318;Speyer, Kreisfreie Stadt;Rheinland-Pfalz;54,3;27
12071;Spree-Neiße, Landkreis;Brandenburg;4,1;5
10046;St. Wendel, Landkreis;Saarland;17,8;16
3359;Stade, Landkreis;Niedersachsen;21,0;41
5334;Städteregion Aachen (einschl. Stadt Aachen);Nordrhein-Westfalen;15,9;86
9188;Starnberg, Landkreis;Bayern;38,2;49
1061;Steinburg, Landkreis;Schleswig-Holstein;19,2;25
5566;Steinfurt, Kreis;Nordrhein-Westfalen;12,4;54
15090;Stendal, Landkreis;Sachsen-Anhalt;11,0;13
1062;Stormarn, Landkreis;Schleswig-Holstein;16,9;39
9278;Straubing-Bogen, Landkreis;Bayern;7,3;7
9263;Straubing, Stadt;Bayern;29,1;13
8111;Stuttgart, Landeshauptstadt, Kreisfreie Stadt;Baden-Württemberg;62,6;370
7337;Südliche Weinstraße, Landkreis;Rheinland-Pfalz;15,7;17
