"","district","DistrictName","TotalPopulation"
"329",12054,"Potsdam",161468
"339",12069,"Potsdam-Mittelmark",205520
"340",12070,"Prignitz",77993
"196",8216,"Rastatt",223311
"222",8436,"Ravensburg",273540
"96",5562,"Recklinghausen",613878
"255",9276,"Regen",76257
"260",9362,"Regensburg",140276
"266",9375,"Regensburg",185980
"28",3241,"Region Hannover",1119526
"320",10041,"Regionalverband Saarbrücken",325978
"185",8119,"Rems-Murr-Kreis",411025
"72",5120,"Remscheid",108955
"12",1058,"Rendsburg-Eckernförde",268075
"215",8415,"Reutlingen",276019
"85",5362,"Rhein-Erft-Kreis",456602
"152",7140,"Rhein-Hunsrück-Kreis",100770
"77",5162,"Rhein-Kreis Neuss",440602
"153",7141,"Rhein-Lahn-Kreis",121375
"200",8226,"Rhein-Neckar-Kreis",531013
"177",7338,"Rhein-Pfalz-Kreis",149068
"90",5382,"Rhein-Sieg-Kreis",582280
"130",6439,"Rheingau-Taunus-Kreis",181190
"89",5378,"Rheinisch-Bergischer Kreis",278440
"299",9673,"Rhön-Grabfeld",79965
"226",9163,"Rosenheim",60464
"243",9187,"Rosenheim",249810
"344",13003,"Rostock",203431
"41",3357,"Rotenburg (Wümme)",161308
"292",9576,"Roth",123431
"256",9277,"Rottal-Inn",117654
"209",8325,"Rottweil",135319
"398",16074,"Saale-Holzland-Kreis",84001
"399",16075,"Saale-Orla-Kreis",83654
"375",15088,"Saalekreis",187690
"397",16073,"Saalfeld-Rudolstadt",110307
"323",10044,"Saarlouis",195976
"324",10045,"Saarpfalz-Kreis",143851
"361",14628,"Sächsische Schweiz-Osterzgebirge",245939
"18",3102,"Salzgitter",98197
"376",15089,"Salzlandkreis",198715
"34",3257,"Schaumburg",155599
"13",1059,"Schleswig-Flensburg",195135
"390",16066,"Schmalkalden-Meiningen",125574
"286",9565,"Schwabach",39546
"189",8127,"Schwäbisch Hall",187682
"141",6634,"Schwalm-Eder-Kreis",179429
"267",9376,"Schwandorf",143060
"210",8326,"Schwarzwald-Baar-Kreis",205090
"295",9662,"Schweinfurt",51851
"304",9678,"Schweinfurt",113007
"345",13004,"Schwerin",91583
"14",1060,"Segeberg",263202
"115",5970,"Siegen-Wittgenstein",274904
"223",8437,"Sigmaringen",127101
"116",5974,"Soest",294971
"73",5122,"Solingen",155768
"392",16068,"Sömmerda",70833
"396",16072,"Sonneberg",57252
"167",7318,"Speyer",49740
"341",12071,"Spree-Neiße",118899
"325",10046,"St. Wendel",88556
"43",3359,"Stade",196516
"244",9188,"Starnberg",130811
"15",1061,"Steinburg",130017
"97",5566,"Steinfurt",434481
"377",15090,"Stendal",115471
"16",1062,"Stormarn",234674
"249",9263,"Straubing",45502
"257",9278,"Straubing-Bogen",97323
"180",8111,"Stuttgart",604297
"176",7337,"Südliche Weinstraße",109026
"179",7340,"Südwestpfalz",96599
"382",16054,"Suhl",35665
"342",12072,"Teltow-Fläming",160448
"268",9377,"Tirschenreuth",73457
"245",9189,"Traunstein",170364
"155",7211,"Trier",107233
"159",7235,"Trier-Saarburg",144337
"216",8416,"Tübingen",216535
"211",8327,"Tuttlingen",133198
"343",12073,"Uckermark",121326
"44",3360,"Uelzen",92356
"218",8421,"Ulm",119218
